folder,source,filename,expected_class,predicted_class,confidence,traversability_score,correct,p_soil,p_bedrock,p_sand,p_big_rock,inference_ms
1. AI4MAR Bedrock,AI4Mars,NLA_408507631EDR_F0051216NCAM00219M1.JPG,bedrock,bedrock,0.8201,0.5828,1,0.1642,0.8201,0.0139,0.0018,420.0
1. AI4MAR Bedrock,AI4Mars,NLA_408507666EDR_F0051216NCAM00219M1.JPG,bedrock,bedrock,0.9745,0.6843,1,0.0229,0.9745,0.0009,0.0017,397.0
1. AI4MAR Bedrock,AI4Mars,NLA_408583749EDR_F0051216NCAM06844M1.JPG,bedrock,bedrock,0.9882,0.6934,1,0.0102,0.9882,0.0001,0.0016,556.6
1. AI4MAR Bedrock,AI4Mars,NLA_408594521EDR_F0051398NCAM05134M1.JPG,bedrock,bedrock,0.9981,0.6999,1,0.0006,0.9981,0.0001,0.0012,340.3
1. AI4MAR Bedrock,AI4Mars,NLA_408594556EDR_F0051398NCAM05134M1.JPG,bedrock,bedrock,0.9971,0.6996,1,0.0011,0.9971,0.0004,0.0014,602.4
1. AI4MAR Bedrock,AI4Mars,NLA_408594626EDR_F0051398NCAM05134M1.JPG,bedrock,bedrock,0.9995,0.6998,1,0.0003,0.9995,0.0002,0.0001,506.5
1. AI4MAR Bedrock,AI4Mars,NLA_408594653EDR_F0051398NCAM00220M1.JPG,bedrock,bedrock,0.9921,0.695,1,0.0072,0.9921,0.0003,0.0004,374.7
1. AI4MAR Bedrock,AI4Mars,NLA_408770884EDR_F0051530NCAM00347M1.JPG,bedrock,bedrock,0.9991,0.6994,1,0.0008,0.9991,0.0,0.0,258.0
1. AI4MAR Bedrock,AI4Mars,NLA_408775073EDR_F0051576NCAM05703M1.JPG,bedrock,bedrock,0.9957,0.6973,1,0.0037,0.9957,0.0005,0.0001,488.1
1. AI4MAR Bedrock,AI4Mars,NLA_410546255EDR_F0051902NCAM07653M1.JPG,bedrock,bedrock,0.9995,0.6999,1,0.0001,0.9995,0.0002,0.0001,387.2
1. AI4MAR Bedrock,AI4Mars,NLA_410902805EDR_F0051916NCAM00457M1.JPG,bedrock,bedrock,0.9999,0.7,1,0.0001,0.9999,0.0,0.0,582.9
1. AI4MAR Bedrock,AI4Mars,NLA_410902834EDR_F0051916NCAM00457M1.JPG,bedrock,bedrock,0.9995,0.6998,1,0.0002,0.9995,0.0002,0.0,312.1
1. AI4MAR Bedrock,AI4Mars,NLA_410988618EDR_F0051954NCAM05144M1.JPG,bedrock,bedrock,0.9957,0.6989,1,0.0023,0.9957,0.0002,0.0018,352.6
1. AI4MAR Bedrock,AI4Mars,NLA_410988646EDR_F0051954NCAM05144M1.JPG,bedrock,bedrock,0.9699,0.6959,1,0.0122,0.9699,0.0019,0.0161,334.6
1. AI4MAR Bedrock,AI4Mars,NLA_410988681EDR_F0051954NCAM05144M1.JPG,bedrock,bedrock,0.9997,0.6998,1,0.0002,0.9997,0.0,0.0,207.8
1. AI4MAR Bedrock,AI4Mars,NLA_411875073EDR_F0052094NCAM05544M1.JPG,bedrock,bedrock,0.9996,0.6999,1,0.0002,0.9996,0.0,0.0002,168.1
1. AI4MAR Bedrock,AI4Mars,NLA_605051366EDR_F0740762NCAM00312M1.JPG,bedrock,bedrock,0.9973,0.6988,1,0.0015,0.9973,0.001,0.0002,180.9
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_1.jpg,big_rock,soil,0.4735,0.297,0,0.4735,0.112,0.392,0.0226,261.9
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_10.jpg,big_rock,soil,0.8129,0.1038,0,0.8129,0.0277,0.1501,0.0094,280.5
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_11.jpg,big_rock,soil,0.844,0.1004,0,0.844,0.0704,0.0691,0.0165,342.7
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_12.jpg,big_rock,soil,0.8593,0.0959,0,0.8593,0.0939,0.0333,0.0136,240.7
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_13.jpg,big_rock,soil,0.8228,0.11,0,0.8228,0.0844,0.0839,0.0089,303.1
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_14.jpg,big_rock,soil,0.6363,0.2206,0,0.6363,0.1501,0.196,0.0176,314.7
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_15.jpg,big_rock,sand,0.5123,0.2713,0,0.4681,0.0147,0.5123,0.0048,260.2
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_16.jpg,big_rock,soil,0.6044,0.2098,0,0.6044,0.0451,0.3446,0.0059,386.2
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_17.jpg,big_rock,soil,0.6612,0.1756,0,0.6612,0.0207,0.314,0.0041,304.8
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_18.jpg,big_rock,sand,0.7249,0.3761,0,0.2572,0.0142,0.7249,0.0038,189.2
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_19.jpg,big_rock,sand,0.6161,0.4452,0,0.1979,0.1631,0.6161,0.023,408.1
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_2.jpg,big_rock,soil,0.8343,0.1166,0,0.8343,0.1552,0.0051,0.0055,249.0
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_20.jpg,big_rock,sand,0.7509,0.4233,0,0.1831,0.0605,0.7509,0.0055,422.3
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_21.jpg,big_rock,sand,0.8199,0.4312,0,0.153,0.0195,0.8199,0.0076,460.2
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_22.jpg,big_rock,sand,0.566,0.3301,0,0.3687,0.0609,0.566,0.0045,363.1
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_23.jpg,big_rock,soil,0.6571,0.1808,0,0.6571,0.0355,0.303,0.0044,313.6
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_24.jpg,big_rock,soil,0.8375,0.0981,0,0.8375,0.067,0.0885,0.0069,345.8
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_25.jpg,big_rock,soil,0.5447,0.308,0,0.5447,0.3262,0.0989,0.0302,292.4
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_26.jpg,big_rock,soil,0.92,0.0511,0,0.92,0.0413,0.0329,0.0058,186.4
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_27.jpg,big_rock,soil,0.7251,0.1903,0,0.7251,0.2283,0.0321,0.0144,321.5
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_28.jpg,big_rock,soil,0.8005,0.1337,0,0.8005,0.151,0.0409,0.0076,249.0
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_29.jpg,big_rock,soil,0.5839,0.2894,0,0.5839,0.3775,0.0268,0.0118,192.3
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_3.jpg,big_rock,soil,0.5749,0.2926,0,0.5749,0.3548,0.0521,0.0182,193.9
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_30.jpg,big_rock,soil,0.898,0.0694,0,0.898,0.0777,0.0185,0.0057,237.9
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_31.jpg,big_rock,soil,0.806,0.1102,0,0.806,0.0444,0.141,0.0086,213.3
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_32.jpg,big_rock,soil,0.7319,0.1568,0,0.7319,0.0869,0.1706,0.0107,208.5
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_33.jpg,big_rock,soil,0.8402,0.0952,0,0.8402,0.0546,0.0966,0.0086,251.1
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_34.jpg,big_rock,soil,0.7777,0.1398,0,0.7777,0.117,0.0947,0.0106,218.7
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_35.jpg,big_rock,soil,0.891,0.0703,0,0.891,0.0545,0.0448,0.0098,204.7
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_36.jpg,big_rock,soil,0.6314,0.259,0,0.6314,0.3421,0.0139,0.0126,401.1
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_4.jpg,big_rock,soil,0.7427,0.1736,0,0.7427,0.1982,0.0485,0.0106,304.4
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_5.jpg,big_rock,soil,0.8507,0.1032,0,0.8507,0.1206,0.0199,0.0088,284.7
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_6.jpg,big_rock,soil,0.7969,0.136,0,0.7969,0.1397,0.0505,0.0129,243.2
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_7.jpg,big_rock,soil,0.7785,0.1534,0,0.7785,0.1682,0.0352,0.0181,287.2
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_8.jpg,big_rock,soil,0.695,0.2103,0,0.695,0.2486,0.0404,0.016,385.1
2. Big rock,lab_sandpit,LINE_ALBUM_Terrain_260729_9.jpg,big_rock,soil,0.7378,0.1771,0,0.7378,0.1977,0.0516,0.0129,260.0
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_37.jpg,sand,soil,0.5368,0.233,0,0.5368,0.0059,0.4568,0.0005,213.7
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_38.jpg,sand,sand,0.6709,0.3391,1,0.3241,0.0046,0.6709,0.0005,374.7
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_39.jpg,sand,soil,0.5444,0.2285,0,0.5444,0.0028,0.4525,0.0003,245.0
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_40.jpg,sand,soil,0.9042,0.0489,0,0.9042,0.0028,0.092,0.001,268.8
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_41.jpg,sand,sand,0.7129,0.3669,1,0.2726,0.0135,0.7129,0.001,213.1
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_42.jpg,sand,sand,0.5237,0.2642,1,0.4732,0.0026,0.5237,0.0005,297.2
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_43.jpg,sand,sand,0.4757,0.2833,1,0.46,0.0629,0.4757,0.0015,313.1
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_44.jpg,sand,sand,0.584,0.3072,1,0.3948,0.0198,0.584,0.0014,259.4
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_45.jpg,sand,sand,0.9034,0.454,1,0.0935,0.0026,0.9034,0.0005,187.2
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_46.jpg,sand,soil,0.519,0.2406,0,0.519,0.0004,0.4805,0.0001,333.6
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_47.jpg,sand,sand,0.5773,0.2895,1,0.4217,0.0007,0.5773,0.0004,335.7
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_48.jpg,sand,sand,0.6469,0.3532,1,0.311,0.0413,0.6469,0.0008,224.1
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_49.jpg,sand,sand,0.715,0.3628,1,0.2778,0.0064,0.715,0.0008,253.3
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_50.jpg,sand,sand,0.7123,0.3569,1,0.2867,0.0007,0.7123,0.0003,276.1
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_51.jpg,sand,soil,0.6453,0.1781,0,0.6453,0.0025,0.3517,0.0005,215.8
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_52.jpg,sand,sand,0.5192,0.2738,1,0.461,0.0187,0.5192,0.0011,316.6
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_53.jpg,sand,sand,0.8227,0.4128,1,0.1754,0.0016,0.8227,0.0004,220.7
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_54.jpg,sand,sand,0.7037,0.3536,1,0.294,0.0019,0.7037,0.0004,287.1
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_55.jpg,sand,soil,0.6743,0.1654,0,0.6743,0.0109,0.3139,0.0008,311.2
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_56.jpg,sand,sand,0.7738,0.425,1,0.1726,0.0516,0.7738,0.0019,199.9
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_57.jpg,sand,sand,0.9067,0.4811,1,0.0543,0.0376,0.9067,0.0014,413.4
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_58.jpg,sand,sand,0.8847,0.4563,1,0.0959,0.0182,0.8847,0.0012,306.9
3. Sand,lab_sandpit,LINE_ALBUM_Terrain_260729_59.jpg,sand,sand,0.5308,0.3507,1,0.3484,0.1183,0.5308,0.0025,182.5
3. Sand/AI4MAR Sand,AI4Mars,NLB_460172980EDR_F0400200NCAM00257M1.JPG,sand,sand,0.9994,0.4997,1,0.0005,0.0,0.9994,0.0,362.2
3. Sand/AI4MAR Sand,AI4Mars,NLB_460173011EDR_F0400200NCAM00257M1.JPG,sand,sand,0.9992,0.4997,1,0.0007,0.0,0.9992,0.0,173.0
3. Sand/AI4MAR Sand,AI4Mars,NLB_460433266EDR_F0400320NCAM00479M1.JPG,sand,sand,0.9995,0.4998,1,0.0004,0.0001,0.9995,0.0,144.2
3. Sand/AI4MAR Sand,AI4Mars,NLB_460433300EDR_F0400320NCAM00479M1.JPG,sand,sand,0.9612,0.484,1,0.0343,0.0038,0.9612,0.0007,230.2
3. Sand/AI4MAR Sand,AI4Mars,NLB_460434831EDR_F0400366NCAM07812M1.JPG,sand,sand,0.9997,0.4999,1,0.0003,0.0,0.9997,0.0,244.4
3. Sand/AI4MAR Sand,AI4Mars,NLB_460434855EDR_F0400366NCAM07812M1.JPG,sand,sand,0.9998,0.4999,1,0.0002,0.0,0.9998,0.0,163.9
3. Sand/AI4MAR Sand,AI4Mars,NLB_460434879EDR_F0400366NCAM07812M1.JPG,sand,sand,0.9984,0.4993,1,0.0014,0.0001,0.9984,0.0001,173.7
3. Sand/AI4MAR Sand,AI4Mars,NLB_460612862EDR_F0400540NCAM00260M1.JPG,sand,sand,0.9971,0.4988,1,0.0025,0.0002,0.9971,0.0002,168.5
3. Sand/AI4MAR Sand,AI4Mars,NLB_468424443EDR_F0441004NCAM00385M1.JPG,sand,sand,0.9995,0.4998,1,0.0004,0.0,0.9995,0.0,213.5
3. Sand/AI4MAR Sand,AI4Mars,NLB_468424474EDR_F0441004NCAM00385M1.JPG,sand,sand,0.9985,0.4993,1,0.0015,0.0,0.9985,0.0,163.5
3. Sand/AI4MAR Sand,AI4Mars,NLB_506595366EDR_F0521162NCAM00323M1.JPG,sand,sand,0.9997,0.5,1,0.0001,0.0001,0.9997,0.0001,160.1
3. Sand/AI4MAR Sand,AI4Mars,NLB_506595567EDR_F0521162NCAM00322M1.JPG,sand,sand,0.9998,0.5,1,0.0,0.0001,0.9998,0.0,165.4
3. Sand/AI4MAR Sand,AI4Mars,NLB_506599920EDR_F0521162NCAM00323M1.JPG,sand,sand,0.9994,0.5001,1,0.0001,0.0003,0.9994,0.0001,263.8
3. Sand/AI4MAR Sand,AI4Mars,NLB_506600272EDR_F0521162NCAM00322M1.JPG,sand,sand,0.9999,0.5,1,0.0,0.0001,0.9999,0.0,258.7
3. Sand/AI4MAR Sand,AI4Mars,NLB_506608552EDR_F0521162NCAM00323M1.JPG,sand,sand,0.9996,0.5,1,0.0002,0.0001,0.9996,0.0001,232.9
4. Soil,campus,LINE_ALBUM_Terrain 2_260731_1.jpg,soil,soil,0.9804,0.0137,1,0.9804,0.0195,0.0001,0.0,333.4
4. Soil,campus,LINE_ALBUM_Terrain 2_260731_12.jpg,soil,soil,0.9906,0.0067,1,0.9906,0.0088,0.0002,0.0004,286.1
4. Soil,campus,LINE_ALBUM_Terrain 2_260731_13.jpg,soil,soil,0.9886,0.0081,1,0.9886,0.0105,0.0002,0.0006,493.3
4. Soil,campus,LINE_ALBUM_Terrain 2_260731_14.jpg,soil,soil,0.9835,0.0116,1,0.9835,0.0163,0.0,0.0002,235.4
4. Soil,campus,LINE_ALBUM_Terrain 2_260731_15.jpg,soil,soil,0.9804,0.0137,1,0.9804,0.0195,0.0,0.0001,375.2
4. Soil,campus,LINE_ALBUM_Terrain 2_260731_16.jpg,soil,soil,0.9989,0.0008,1,0.9989,0.0011,0.0,0.0,206.5
4. Soil,campus,LINE_ALBUM_Terrain 2_260731_2.jpg,soil,soil,0.9996,0.0003,1,0.9996,0.0004,0.0,0.0,167.4
4. Soil,campus,LINE_ALBUM_Terrain 2_260731_20.jpg,soil,soil,0.988,0.0084,1,0.988,0.012,0.0,0.0,330.3
4. Soil,campus,LINE_ALBUM_Terrain 2_260731_21.jpg,soil,soil,0.6609,0.2374,1,0.6609,0.3388,0.0001,0.0002,182.5
4. Soil,campus,LINE_ALBUM_Terrain 2_260731_25.jpg,soil,soil,0.997,0.0021,1,0.997,0.003,0.0,0.0,176.6
4. Soil,campus,LINE_ALBUM_Terrain 2_260731_3.jpg,soil,soil,0.9963,0.0026,1,0.9963,0.0037,0.0,0.0,208.3
4. Soil,campus,LINE_ALBUM_Terrain 2_260731_4.jpg,soil,soil,0.9983,0.0012,1,0.9983,0.0017,0.0,0.0,240.8
4. Soil,campus,S__29728771_0.jpg,soil,soil,0.8665,0.0935,1,0.8665,0.1334,0.0,0.0,294.7
4. Soil/AI4MAR Soil,AI4Mars,NLA_397681486EDR_F0020000AUT_04096M1.JPG,soil,soil,0.9963,0.0026,1,0.9963,0.0036,0.0001,0.0,334.3
4. Soil/AI4MAR Soil,AI4Mars,NLA_397681520EDR_F0020000AUT_04096M1.JPG,soil,soil,0.998,0.0014,1,0.998,0.002,0.0,0.0,349.6
4. Soil/AI4MAR Soil,AI4Mars,NLA_397681967EDR_F0020000AUT_04096M1.JPG,soil,soil,0.9998,0.0001,1,0.9998,0.0002,0.0,0.0,289.3
4. Soil/AI4MAR Soil,AI4Mars,NLA_398919855EDR_F0030078NCAM00303M1.JPG,soil,soil,0.9994,0.0003,1,0.9994,0.0001,0.0004,0.0,195.6
4. Soil/AI4MAR Soil,AI4Mars,NLA_398920122EDR_F0030078NCAM00303M1.JPG,soil,soil,0.9975,0.0017,1,0.9975,0.0023,0.0001,0.0001,216.4
4. Soil/AI4MAR Soil,AI4Mars,NLA_399365272EDR_F0030100NCAM00403M1.JPG,soil,soil,0.9978,0.0014,1,0.9978,0.0018,0.0004,0.0,185.9
4. Soil/AI4MAR Soil,AI4Mars,NLA_399365300EDR_F0030100NCAM00403M1.JPG,soil,soil,0.9991,0.0006,1,0.9991,0.0009,0.0,0.0,229.2
4. Soil/AI4MAR Soil,AI4Mars,NLA_399455489EDR_F0030260NCAM00412M1.JPG,soil,soil,0.9976,0.0012,1,0.9976,0.0001,0.0023,0.0,165.6
4. Soil/AI4MAR Soil,AI4Mars,NLA_399455517EDR_F0030260NCAM00412M1.JPG,soil,soil,0.9946,0.0027,1,0.9946,0.0001,0.0053,0.0,151.1
4. Soil/AI4MAR Soil,AI4Mars,NLA_399455545EDR_F0030260NCAM00412M1.JPG,soil,soil,0.9994,0.0003,1,0.9994,0.0001,0.0004,0.0,313.1
4. Soil/AI4MAR Soil,AI4Mars,NLA_399455573EDR_F0030260NCAM00412M1.JPG,soil,soil,0.9965,0.0017,1,0.9965,0.0,0.0034,0.0,193.1
4. Soil/AI4MAR Soil,AI4Mars,NLA_399455608EDR_F0030260NCAM00412M1.JPG,soil,soil,0.9996,0.0002,1,0.9996,0.0001,0.0003,0.0,222.8
4. Soil/AI4MAR Soil,AI4Mars,NLA_399455803EDR_F0030260NCAM00410M1.JPG,soil,soil,0.9997,0.0002,1,0.9997,0.0002,0.0,0.0,266.8
4. Soil/AI4MAR Soil,AI4Mars,NLA_399621413EDR_F0030308NCAM00405M1.JPG,soil,soil,1.0,0.0,1,1.0,0.0,0.0,0.0,351.5
4. Soil/AI4MAR Soil,AI4Mars,NLA_399621461EDR_F0030308NCAM00404M1.JPG,soil,soil,0.9999,0.0001,1,0.9999,0.0001,0.0,0.0,195.1
4. Soil/AI4MAR Soil,AI4Mars,NLA_399622593EDR_F0030350NCAM00404M1.JPG,soil,soil,0.999,0.0006,1,0.999,0.0007,0.0003,0.0,203.9
4. Soil/AI4MAR Soil,AI4Mars,NLA_399627538EDR_F0030372NCAM00407M1.JPG,soil,soil,0.9987,0.0007,1,0.9987,0.0002,0.0011,0.0,605.1
4. Soil/AI4MAR Soil,AI4Mars,NLA_399627567EDR_F0030372NCAM00407M1.JPG,soil,soil,0.9996,0.0002,1,0.9996,0.0001,0.0003,0.0,276.2
4. Soil/AI4MAR Soil,AI4Mars,NLA_399627595EDR_F0030372NCAM00407M1.JPG,soil,soil,0.9999,0.0001,1,0.9999,0.0001,0.0,0.0,363.2
4. Soil/AI4MAR Soil,AI4Mars,NLA_399627623EDR_F0030372NCAM00407M1.JPG,soil,soil,0.9999,0.0001,1,0.9999,0.0001,0.0,0.0,292.2
4. Soil/AI4MAR Soil,AI4Mars,NLA_399627657EDR_F0030372NCAM00406M1.JPG,soil,soil,0.9997,0.0002,1,0.9997,0.0003,0.0,0.0,465.1
4. Soil/AI4MAR Soil,AI4Mars,NLA_399807115EDR_F0030530NCAM00414M1.JPG,soil,soil,0.9988,0.0007,1,0.9988,0.0004,0.0008,0.0,211.6
4. Soil/AI4MAR Soil,AI4Mars,NLA_399807144EDR_F0030530NCAM00414M1.JPG,soil,soil,0.9995,0.0003,1,0.9995,0.0001,0.0004,0.0,276.6
4. Soil/AI4MAR Soil,AI4Mars,NLA_399807171EDR_F0030530NCAM00414M1.JPG,soil,soil,0.9986,0.0009,1,0.9986,0.001,0.0004,0.0,312.6
4. Soil/AI4MAR Soil,AI4Mars,NLA_399807200EDR_F0030530NCAM00414M1.JPG,soil,soil,0.9995,0.0003,1,0.9995,0.0004,0.0001,0.0,302.4
4. Soil/AI4MAR Soil,AI4Mars,NLA_399807228EDR_F0030530NCAM00414M1.JPG,soil,soil,0.9996,0.0002,1,0.9996,0.0003,0.0001,0.0,483.1
4. Soil/AI4MAR Soil,AI4Mars,NLA_399807263EDR_F0030530NCAM00414M1.JPG,soil,soil,0.9994,0.0004,1,0.9994,0.0006,0.0,0.0,263.9
4. Soil/AI4MAR Soil,AI4Mars,NLA_399807291EDR_F0030530NCAM00414M1.JPG,soil,soil,0.9998,0.0001,1,0.9998,0.0002,0.0,0.0,349.6
4. Soil/AI4MAR Soil,AI4Mars,NLA_400071597EDR_F0040000NCAM00419M1.JPG,soil,soil,0.9994,0.0004,1,0.9994,0.0003,0.0003,0.0,440.7
4. Soil/AI4MAR Soil,AI4Mars,NLA_400071632EDR_F0040000NCAM00419M1.JPG,soil,soil,0.9987,0.0008,1,0.9987,0.0006,0.0006,0.0001,390.0
4. Soil/AI4MAR Soil,AI4Mars,NLA_400071660EDR_F0040000NCAM00419M1.JPG,soil,soil,0.9979,0.0011,1,0.9979,0.0001,0.0019,0.0,507.7
4. Soil/AI4MAR Soil,AI4Mars,NLA_400071695EDR_F0040000NCAM00419M1.JPG,soil,soil,0.9997,0.0002,1,0.9997,0.0002,0.0001,0.0,313.7
4. Soil/AI4MAR Soil,AI4Mars,NLA_400071730EDR_F0040000NCAM00419M1.JPG,soil,soil,0.9995,0.0002,1,0.9995,0.0,0.0004,0.0,320.5
4. Soil/AI4MAR Soil,AI4Mars,NLA_400871510EDR_F0040404NCAM00409M1.JPG,soil,soil,0.9981,0.0011,1,0.9981,0.0009,0.0009,0.0,265.0
4. Soil/AI4MAR Soil,AI4Mars,NLA_400871538EDR_F0040404NCAM00409M1.JPG,soil,soil,0.9829,0.0096,1,0.9829,0.0052,0.0118,0.0001,363.8
4. Soil/AI4MAR Soil,AI4Mars,NLA_400958694EDR_F0040468NCAM00422M1.JPG,soil,soil,0.9962,0.0019,1,0.9962,0.0001,0.0037,0.0,311.4
4. Soil/AI4MAR Soil,AI4Mars,NLA_400958722EDR_F0040468NCAM00422M1.JPG,soil,soil,0.9961,0.002,1,0.9961,0.0003,0.0036,0.0,156.1
4. Soil/AI4MAR Soil,AI4Mars,NLA_400958750EDR_F0040468NCAM00422M1.JPG,soil,soil,0.9963,0.0022,1,0.9963,0.0015,0.0021,0.0,193.2
4. Soil/AI4MAR Soil,AI4Mars,NLA_401051257EDR_F0040916NCAM00423M1.JPG,soil,soil,0.9996,0.0002,1,0.9996,0.0003,0.0,0.0,220.4
4. Soil/AI4MAR Soil,AI4Mars,NLA_401051628EDR_F0040916NCAM00424M1.JPG,soil,soil,0.9996,0.0003,1,0.9996,0.0003,0.0002,0.0,234.0
4. Soil/AI4MAR Soil,AI4Mars,NLA_401051663EDR_F0040916NCAM00424M1.JPG,soil,soil,0.9999,0.0,1,0.9999,0.0,0.0,0.0,184.8
4. Soil/AI4MAR Soil,AI4Mars,NLA_401232988EDR_F0041632NCAM00427M1.JPG,soil,soil,0.995,0.0034,1,0.995,0.0042,0.0008,0.0,136.8
4. Soil/AI4MAR Soil,AI4Mars,NLA_401316780EDR_F0042002NCAM00430M1.JPG,soil,soil,0.9994,0.0004,1,0.9994,0.0005,0.0001,0.0,240.4
4. Soil/AI4MAR Soil,AI4Mars,NLA_401848397EDR_F0042778NCAM00409M1.JPG,soil,soil,0.996,0.0027,1,0.996,0.0027,0.0011,0.0002,344.5
