mb_class_code,mb_class_idx,ai4mars_gt,ai4mars_pred,confidence,correct
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9612,False
gro,13,soil,bedrock,0.9949,False
drh,9,sand,soil,0.9999,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9998,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,1.0,False
gro,13,soil,bedrock,0.9983,False
gro,13,soil,soil,0.5944,True
gro,13,soil,soil,0.9312,True
drh,9,sand,soil,1.0,False
gro,13,soil,bedrock,0.9739,False
gro,13,soil,soil,1.0,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.999,True
gro,13,soil,bedrock,0.9966,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9995,False
drt,11,sand,sand,0.5824,True
dri,8,sand,sand,0.5155,True
drh,9,sand,soil,0.9904,False
gro,13,soil,sand,1.0,False
sco,30,bedrock,sand,0.8152,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.9765,True
gro,13,soil,bedrock,0.9999,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drt,11,sand,sand,0.9965,True
dri,8,sand,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9937,False
dri,8,sand,bedrock,0.7754,False
gro,13,soil,bedrock,0.7335,False
sco,30,bedrock,bedrock,1.0,True
sco,30,bedrock,bedrock,0.9755,True
gro,13,soil,bedrock,0.9995,False
gro,13,soil,soil,0.9995,True
drt,11,sand,sand,0.8644,True
gro,13,soil,sand,0.8091,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,0.9774,False
drh,9,sand,bedrock,1.0,False
gro,13,soil,bedrock,0.9572,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9778,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,1.0,True
sco,30,bedrock,sand,0.9984,False
gro,13,soil,bedrock,0.6114,False
gro,13,soil,bedrock,0.9998,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drt,11,sand,sand,0.6398,True
gro,13,soil,bedrock,0.9998,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,bedrock,1.0,False
drt,11,sand,sand,0.9437,True
gro,13,soil,soil,1.0,True
gro,13,soil,big_rock,0.5523,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,sand,0.9995,False
drh,9,sand,soil,0.9939,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.5061,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9999,False
gro,13,soil,soil,0.9968,True
dri,8,sand,sand,1.0,True
gro,13,soil,bedrock,0.9999,False
gro,13,soil,soil,0.9997,True
drh,9,sand,soil,0.7664,False
gro,13,soil,bedrock,0.8491,False
gro,13,soil,big_rock,0.866,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9983,False
gro,13,soil,big_rock,0.6855,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.9453,False
gro,13,soil,soil,0.5096,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,bedrock,0.9437,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9985,False
dri,8,sand,sand,0.9707,True
drt,11,sand,sand,0.9948,True
gro,13,soil,soil,0.9432,True
gro,13,soil,big_rock,0.9971,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,bedrock,0.9998,False
gro,13,soil,soil,0.5905,True
sco,30,bedrock,bedrock,0.9999,True
gro,13,soil,big_rock,0.9567,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.796,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.8131,False
gro,13,soil,big_rock,0.9331,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,0.9987,False
rrd,28,bedrock,sand,0.9991,False
gro,13,soil,bedrock,0.9998,False
drh,9,sand,bedrock,0.9999,False
gro,13,soil,bedrock,0.9361,False
gro,13,soil,bedrock,1.0,False
drt,11,sand,sand,0.8652,True
gro,13,soil,bedrock,1.0,False
drt,11,sand,sand,0.9998,True
gro,13,soil,bedrock,0.9997,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9804,False
drh,9,sand,soil,0.8039,False
drh,9,sand,soil,1.0,False
drh,9,sand,bedrock,1.0,False
drt,11,sand,sand,0.9131,True
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,0.9995,False
drt,11,sand,bedrock,0.6774,False
gro,13,soil,soil,0.7561,True
drt,11,sand,sand,0.9991,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.5757,False
drh,9,sand,soil,0.9073,False
gro,13,soil,soil,0.9606,True
drh,9,sand,bedrock,0.9955,False
gro,13,soil,bedrock,0.9993,False
gro,13,soil,bedrock,0.9427,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,0.9994,False
gro,13,soil,soil,0.9959,True
gro,13,soil,bedrock,0.9921,False
drt,11,sand,sand,0.9984,True
gro,13,soil,soil,0.8351,True
gro,13,soil,sand,0.9929,False
dri,8,sand,sand,0.6163,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
sco,30,bedrock,bedrock,0.9997,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9999,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9999,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drt,11,sand,bedrock,0.9914,False
drh,9,sand,sand,0.9986,True
gro,13,soil,bedrock,0.9996,False
gro,13,soil,bedrock,0.9985,False
gro,13,soil,bedrock,0.9992,False
sco,30,bedrock,soil,0.9865,False
sco,30,bedrock,big_rock,0.9883,False
gro,13,soil,bedrock,0.9799,False
drh,9,sand,soil,0.9943,False
drh,9,sand,bedrock,0.9835,False
gro,13,soil,big_rock,0.4293,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drt,11,sand,sand,1.0,True
gro,13,soil,sand,0.9323,False
gro,13,soil,bedrock,0.9993,False
drh,9,sand,soil,0.5663,False
gro,13,soil,bedrock,0.9988,False
drh,9,sand,bedrock,0.988,False
gro,13,soil,bedrock,0.9987,False
gro,13,soil,bedrock,0.9898,False
gro,13,soil,bedrock,0.9625,False
drt,11,sand,sand,0.9993,True
sco,30,bedrock,bedrock,0.9993,True
gro,13,soil,bedrock,0.991,False
gro,13,soil,bedrock,0.9996,False
gro,13,soil,bedrock,0.9957,False
drh,9,sand,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,1.0,True
gro,13,soil,bedrock,1.0,False
drt,11,sand,bedrock,0.9998,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9998,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.72,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.9663,True
gro,13,soil,soil,0.9999,True
rrd,28,bedrock,bedrock,0.9999,True
drh,9,sand,bedrock,0.9998,False
gro,13,soil,bedrock,0.9957,False
gro,13,soil,soil,1.0,True
gro,13,soil,bedrock,0.9993,False
gro,13,soil,big_rock,0.5257,False
gro,13,soil,bedrock,0.9896,False
gro,13,soil,bedrock,0.9616,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,bedrock,0.6893,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.9997,True
drh,9,sand,bedrock,0.9988,False
gro,13,soil,bedrock,0.9616,False
sco,30,bedrock,big_rock,0.8279,False
gro,13,soil,bedrock,0.8782,False
gro,13,soil,big_rock,0.9959,False
drh,9,sand,sand,0.7145,True
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,0.9983,False
drh,9,sand,soil,0.9772,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.9978,True
drt,11,sand,sand,0.7366,True
gro,13,soil,bedrock,0.9991,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,0.9997,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.9976,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
sco,30,bedrock,soil,0.9929,False
gro,13,soil,big_rock,0.988,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,sand,0.9975,False
gro,13,soil,bedrock,0.9657,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9998,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.5009,True
gro,13,soil,bedrock,0.7765,False
gro,13,soil,bedrock,0.9998,False
gro,13,soil,bedrock,0.9999,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drt,11,sand,sand,1.0,True
sco,30,bedrock,big_rock,0.9976,False
dri,8,sand,sand,0.9943,True
sco,30,bedrock,bedrock,0.4989,True
gro,13,soil,bedrock,1.0,False
sco,30,bedrock,bedrock,0.557,True
drh,9,sand,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9997,False
gro,13,soil,soil,1.0,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9999,False
drh,9,sand,soil,0.9998,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9991,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9963,False
drh,9,sand,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,bedrock,0.9967,False
gro,13,soil,bedrock,0.9979,False
gro,13,soil,bedrock,0.5886,False
sco,30,bedrock,sand,0.921,False
sco,30,bedrock,bedrock,1.0,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
rrd,28,bedrock,bedrock,0.9993,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.8727,False
gro,13,soil,bedrock,0.9696,False
gro,13,soil,bedrock,0.9999,False
rrd,28,bedrock,bedrock,0.9939,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,1.0,True
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,0.9977,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9986,False
gro,13,soil,bedrock,0.551,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.79,False
gro,13,soil,soil,0.5508,True
gro,13,soil,bedrock,0.9999,False
gro,13,soil,sand,0.9799,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.9962,True
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,0.9747,False
gro,13,soil,bedrock,0.9962,False
drh,9,sand,soil,0.7815,False
gro,13,soil,soil,0.8002,True
drh,9,sand,bedrock,0.9637,False
gro,13,soil,bedrock,0.9995,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9616,False
sco,30,bedrock,bedrock,0.9996,True
drh,9,sand,soil,0.9684,False
gro,13,soil,bedrock,0.8683,False
gro,13,soil,big_rock,0.9995,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9999,False
drh,9,sand,soil,0.9989,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,bedrock,0.9853,False
drh,9,sand,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.8758,False
gro,13,soil,bedrock,0.9998,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,0.9992,False
drt,11,sand,sand,0.9998,True
gro,13,soil,soil,0.9994,True
gro,13,soil,soil,0.9998,True
gro,13,soil,soil,0.9998,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9956,False
gro,13,soil,big_rock,0.9975,False
gro,13,soil,bedrock,0.9988,False
drt,11,sand,soil,0.9993,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9998,False
gro,13,soil,bedrock,0.9969,False
gro,13,soil,soil,0.9935,True
gro,13,soil,soil,0.9991,True
gro,13,soil,sand,0.9748,False
gro,13,soil,bedrock,0.9992,False
drh,9,sand,soil,0.9218,False
gro,13,soil,big_rock,0.8201,False
gro,13,soil,bedrock,0.9994,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.7358,False
gro,13,soil,bedrock,0.9977,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drt,11,sand,sand,0.54,True
sco,30,bedrock,bedrock,0.5054,True
sco,30,bedrock,bedrock,0.9837,True
gro,13,soil,big_rock,0.6283,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.5734,False
drh,9,sand,bedrock,1.0,False
gro,13,soil,bedrock,0.9998,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9995,False
gro,13,soil,soil,0.9971,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9997,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drt,11,sand,sand,1.0,True
gro,13,soil,big_rock,1.0,False
sco,30,bedrock,bedrock,1.0,True
gro,13,soil,big_rock,0.7632,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9996,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.8967,False
gro,13,soil,soil,1.0,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.9968,False
rrd,28,bedrock,sand,0.9718,False
gro,13,soil,soil,0.7227,True
gro,13,soil,soil,0.9974,True
drh,9,sand,bedrock,0.8274,False
gro,13,soil,bedrock,1.0,False
rrd,28,bedrock,bedrock,0.9992,True
gro,13,soil,bedrock,0.9983,False
gro,13,soil,bedrock,0.9994,False
drh,9,sand,bedrock,0.8048,False
drt,11,sand,bedrock,0.9984,False
gro,13,soil,bedrock,0.9852,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,sand,1.0,True
sco,30,bedrock,soil,1.0,False
gro,13,soil,soil,0.9895,True
gro,13,soil,bedrock,0.9998,False
rrd,28,bedrock,bedrock,0.9999,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.9905,False
gro,13,soil,sand,0.5545,False
drh,9,sand,soil,0.6744,False
gro,13,soil,soil,0.9764,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.5879,True
gro,13,soil,bedrock,0.9997,False
gro,13,soil,bedrock,0.9994,False
gro,13,soil,soil,0.8933,True
gro,13,soil,big_rock,0.9993,False
gro,13,soil,big_rock,0.9601,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,bedrock,0.7544,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,1.0,True
drh,9,sand,sand,0.9636,True
gro,13,soil,soil,0.4961,True
drt,11,sand,bedrock,0.9997,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.999,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9901,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9991,False
gro,13,soil,soil,1.0,True
rrd,28,bedrock,bedrock,0.9998,True
gro,13,soil,bedrock,0.8783,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,bedrock,0.9999,False
gro,13,soil,soil,0.9703,True
drh,9,sand,soil,0.7266,False
gro,13,soil,bedrock,1.0,False
sco,30,bedrock,bedrock,0.9999,True
drh,9,sand,bedrock,0.9998,False
gro,13,soil,bedrock,0.9988,False
drh,9,sand,soil,1.0,False
lar,16,big_rock,soil,1.0,False
gro,13,soil,soil,1.0,True
gro,13,soil,bedrock,0.9643,False
gro,13,soil,bedrock,1.0,False
lar,16,big_rock,big_rock,0.8657,True
gro,13,soil,bedrock,0.9994,False
gro,13,soil,soil,0.9797,True
gro,13,soil,big_rock,0.8114,False
gro,13,soil,soil,0.999,True
gro,13,soil,soil,0.662,True
gro,13,soil,soil,0.9989,True
gro,13,soil,sand,1.0,False
gro,13,soil,soil,0.9868,True
gro,13,soil,sand,0.9236,False
flr,12,big_rock,soil,0.9158,False
gro,13,soil,bedrock,0.9982,False
san,29,sand,bedrock,0.9808,False
gro,13,soil,soil,0.9936,True
gro,13,soil,soil,0.9934,True
gro,13,soil,big_rock,0.7269,False
gro,13,soil,sand,0.5027,False
drh,9,sand,soil,1.0,False
gro,13,soil,big_rock,0.4748,False
gro,13,soil,soil,1.0,True
drt,11,sand,sand,0.8462,True
lar,16,big_rock,sand,0.6288,False
san,29,sand,big_rock,0.582,False
gro,13,soil,bedrock,0.9999,False
gro,13,soil,bedrock,0.8832,False
gro,13,soil,soil,0.9742,True
gro,13,soil,soil,0.9987,True
gro,13,soil,big_rock,0.9571,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.8482,True
gro,13,soil,big_rock,0.6025,False
gro,13,soil,bedrock,0.9999,False
gro,13,soil,soil,1.0,True
drp,10,sand,sand,1.0,True
drp,10,sand,soil,0.9999,False
san,29,sand,bedrock,0.9991,False
gro,13,soil,soil,0.9921,True
gro,13,soil,soil,0.9999,True
gro,13,soil,soil,1.0,True
drp,10,sand,bedrock,0.8915,False
drt,11,sand,big_rock,0.5545,False
gro,13,soil,bedrock,0.9984,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
lar,16,big_rock,bedrock,0.6783,False
gro,13,soil,soil,1.0,True
gro,13,soil,soil,0.9796,True
gro,13,soil,soil,1.0,True
gro,13,soil,soil,1.0,True
drh,9,sand,big_rock,0.7315,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,sand,0.7912,False
gro,13,soil,soil,0.9999,True
gro,13,soil,sand,0.5762,False
gro,13,soil,soil,1.0,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9886,False
gro,13,soil,bedrock,0.999,False
gro,13,soil,soil,0.9938,True
gro,13,soil,soil,0.9999,True
gro,13,soil,bedrock,0.9991,False
gro,13,soil,sand,0.9961,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.9861,False
lar,16,big_rock,bedrock,0.9938,False
gro,13,soil,big_rock,0.965,False
lar,16,big_rock,bedrock,0.9098,False
gro,13,soil,soil,1.0,True
san,29,sand,soil,0.9699,False
gro,13,soil,soil,0.8354,True
san,29,sand,bedrock,0.9977,False
gro,13,soil,soil,1.0,True
gro,13,soil,sand,0.6792,False
gro,13,soil,bedrock,0.9996,False
gro,13,soil,soil,0.5798,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,sand,0.9983,False
gro,13,soil,soil,1.0,True
san,29,sand,bedrock,0.9994,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9528,False
lar,16,big_rock,soil,0.9999,False
gro,13,soil,big_rock,0.6509,False
gro,13,soil,soil,0.9835,True
gro,13,soil,soil,0.9992,True
gro,13,soil,sand,0.9982,False
gro,13,soil,soil,0.7658,True
lar,16,big_rock,soil,0.9761,False
gro,13,soil,soil,0.9999,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9988,False
gro,13,soil,soil,1.0,True
gro,13,soil,sand,1.0,False
gro,13,soil,big_rock,0.9046,False
gro,13,soil,bedrock,0.9997,False
gro,13,soil,soil,1.0,True
gro,13,soil,soil,1.0,True
lar,16,big_rock,bedrock,1.0,False
san,29,sand,bedrock,0.7977,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.9999,True
gro,13,soil,bedrock,0.9947,False
gro,13,soil,soil,0.9993,True
san,29,sand,bedrock,0.998,False
gro,13,soil,soil,0.9998,True
gro,13,soil,big_rock,0.9753,False
gro,13,soil,bedrock,0.9982,False
drt,11,sand,bedrock,0.9994,False
gro,13,soil,sand,0.6752,False
gro,13,soil,sand,0.5631,False
gro,13,soil,sand,0.9201,False
gro,13,soil,soil,1.0,True
gro,13,soil,bedrock,0.9942,False
lar,16,big_rock,soil,0.7322,False
gro,13,soil,bedrock,0.7314,False
lar,16,big_rock,soil,0.9952,False
gro,13,soil,soil,0.4402,True
gro,13,soil,bedrock,0.9763,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.7458,False
gro,13,soil,bedrock,0.9838,False
san,29,sand,big_rock,0.9871,False
gro,13,soil,bedrock,0.9717,False
drh,9,sand,soil,0.589,False
gro,13,soil,bedrock,0.9998,False
gro,13,soil,bedrock,0.7146,False
gro,13,soil,soil,0.7688,True
gro,13,soil,soil,0.9992,True
gro,13,soil,soil,1.0,True
gro,13,soil,big_rock,0.8556,False
gro,13,soil,soil,0.9994,True
gro,13,soil,big_rock,0.6739,False
drt,11,sand,bedrock,0.9993,False
gro,13,soil,soil,1.0,True
gro,13,soil,bedrock,0.9999,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,1.0,True
drh,9,sand,bedrock,0.9359,False
drp,10,sand,soil,0.9954,False
gro,13,soil,soil,0.9993,True
drh,9,sand,bedrock,0.9998,False
lar,16,big_rock,sand,0.8839,False
gro,13,soil,sand,1.0,False
gro,13,soil,soil,1.0,True
gro,13,soil,soil,0.8366,True
gro,13,soil,bedrock,0.999,False
gro,13,soil,bedrock,0.9964,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9934,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,1.0,True
gro,13,soil,soil,1.0,True
gro,13,soil,soil,0.9454,True
lar,16,big_rock,sand,0.7369,False
gro,13,soil,bedrock,0.9985,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.9999,True
gro,13,soil,sand,0.6446,False
