index,image_name,gt_class,pred_class,confidence,correct,p_soil,p_bedrock,p_sand,p_big_rock
22,NLB_431505395EDR_F0141388NCAM00385M1.JPG,soil,soil,0.9071,1,0.9071,0.0497,0.0254,0.0177
23,NLB_431511171EDR_F0150000NCAM00290M1.JPG,soil,soil,0.6614,1,0.6614,0.1643,0.1555,0.0189
24,NLB_431511237EDR_F0150000NCAM00290M1.JPG,soil,soil,0.7716,1,0.7716,0.1110,0.0958,0.0216
25,NLB_431511659EDR_F0150000NCAM00291M1.JPG,soil,soil,0.9296,1,0.9296,0.0287,0.0341,0.0077
26,NLB_431511862EDR_F0150000NCAM00354M1.JPG,soil,soil,0.9141,1,0.9141,0.0468,0.0277,0.0114
27,NLB_436380021EDR_F0211362NCAM00278M1.JPG,soil,soil,0.7801,1,0.7801,0.1179,0.0780,0.0240
28,NLB_436380133EDR_F0211362NCAM00278M1.JPG,bedrock,bedrock,0.5350,1,0.3734,0.5350,0.0272,0.0644
29,NLB_436383872EDR_F0211362NCAM00354M1.JPG,bedrock,bedrock,0.4253,1,0.4121,0.4253,0.0438,0.1187
30,NLB_436383928EDR_F0211362NCAM00354M1.JPG,bedrock,bedrock,0.6072,1,0.2670,0.6072,0.0901,0.0357
31,NLB_436384026EDR_F0211362NCAM00279M1.JPG,bedrock,bedrock,0.5170,1,0.4119,0.5170,0.0291,0.0421
32,NLB_436384203EDR_F0211362NCAM00279M1.JPG,bedrock,soil,0.4981,0,0.4981,0.3963,0.0829,0.0227
33,NLB_439225164EDR_F0240000NCAM05113M1.JPG,soil,soil,0.7659,1,0.7659,0.1706,0.0352,0.0283
34,NLB_439225290EDR_F0240000NCAM05113M1.JPG,soil,soil,0.8720,1,0.8720,0.0786,0.0358,0.0135
35,NLB_439225843EDR_F0240000NCAM00267M1.JPG,soil,soil,0.6603,1,0.6603,0.1947,0.1181,0.0270
36,NLB_439225957EDR_F0240000NCAM00267M1.JPG,soil,soil,0.5491,1,0.5491,0.2036,0.2075,0.0397
37,NLB_439226019EDR_F0240000NCAM00267M1.JPG,soil,soil,0.6582,1,0.6582,0.2387,0.0801,0.0230
38,NLB_439226061EDR_F0240000NCAM00350M1.JPG,soil,bedrock,0.5328,0,0.3689,0.5328,0.0596,0.0388
39,NLB_439226140EDR_F0240000NCAM00350M1.JPG,soil,soil,0.9312,1,0.9312,0.0337,0.0279,0.0073
40,NLB_442591818EDR_F0250254NCAM00470M1.JPG,soil,soil,0.7438,1,0.7438,0.1333,0.1045,0.0185
41,NLB_442592358EDR_F0250272NCAM00385M1.JPG,soil,soil,0.9797,1,0.9797,0.0118,0.0054,0.0031
42,NLB_442593301EDR_F0250312NCAM00353M1.JPG,soil,soil,0.5844,1,0.5844,0.3032,0.0747,0.0378
43,NLB_442598077EDR_F0250312NCAM00281M1.JPG,soil,soil,0.7568,1,0.7568,0.1322,0.0916,0.0194
44,NLB_442598204EDR_F0250312NCAM00281M1.JPG,soil,soil,0.6379,1,0.6379,0.2503,0.0648,0.0470
45,NLB_442600163EDR_F0250312NCAM00350M1.JPG,soil,soil,0.9130,1,0.9130,0.0376,0.0417,0.0077
46,NLB_442600208EDR_F0250312NCAM00282M1.JPG,soil,soil,0.5490,1,0.5490,0.3038,0.0985,0.0487
47,NLB_442600301EDR_F0250312NCAM00282M1.JPG,soil,soil,0.6952,1,0.6952,0.1022,0.1775,0.0251
48,NLB_442600416EDR_F0250312NCAM00282M1.JPG,soil,soil,0.4451,1,0.4451,0.2301,0.2682,0.0566
49,NLB_442600447EDR_F0250312NCAM00282M1.JPG,soil,soil,0.5268,1,0.5268,0.1408,0.3025,0.0299
50,NLB_443659348EDR_F0251082NCAM00470M1.JPG,soil,soil,0.8271,1,0.8271,0.0853,0.0736,0.0141
51,NLB_443663198EDR_F0251238NCAM00353M1.JPG,soil,soil,0.7491,1,0.7491,0.1089,0.1103,0.0317
52,NLB_443663262EDR_F0251238NCAM00289M1.JPG,soil,soil,0.7633,1,0.7633,0.1040,0.1123,0.0204
53,NLB_443663326EDR_F0251238NCAM00289M1.JPG,soil,soil,0.9655,1,0.9655,0.0089,0.0187,0.0070
54,NLB_443668744EDR_F0251238NCAM00292M1.JPG,soil,soil,0.8765,1,0.8765,0.0369,0.0727,0.0138
55,NLB_443668806EDR_F0251238NCAM00292M1.JPG,soil,soil,0.6315,1,0.6315,0.1786,0.1569,0.0330
56,NLB_443668921EDR_F0251238NCAM00292M1.JPG,soil,soil,0.6028,1,0.6028,0.0562,0.3099,0.0312
57,NLB_443669058EDR_F0251238NCAM00352M1.JPG,soil,soil,0.8450,1,0.8450,0.0410,0.0907,0.0233
58,NLB_443669122EDR_F0251238NCAM00352M1.JPG,soil,soil,0.6627,1,0.6627,0.1205,0.1940,0.0228
59,NLB_448278207EDR_F0300432NCAM00380M1.JPG,soil,soil,0.9689,1,0.9689,0.0250,0.0035,0.0026
60,NLB_448279148EDR_F0300484NCAM00353M1.JPG,soil,soil,0.8389,1,0.8389,0.0960,0.0407,0.0245
61,NLB_448279299EDR_F0300484NCAM00299M1.JPG,soil,soil,0.8113,1,0.8113,0.0984,0.0709,0.0194
62,NLB_448279809EDR_F0300484NCAM00354M1.JPG,soil,soil,0.8373,1,0.8373,0.0475,0.1046,0.0106
63,NLB_448279926EDR_F0300484NCAM00250M1.JPG,soil,soil,0.9446,1,0.9446,0.0272,0.0191,0.0091
64,NLB_448279988EDR_F0300484NCAM00250M1.JPG,soil,soil,0.8613,1,0.8613,0.0327,0.0940,0.0120
65,NLB_448280142EDR_F0300484NCAM00250M1.JPG,soil,soil,0.7180,1,0.7180,0.1023,0.1530,0.0268
66,NLB_453776957EDR_F0320204NCAM00498M1.JPG,soil,soil,0.6185,1,0.6185,0.0339,0.3275,0.0201
67,NLB_453777056EDR_F0320204NCAM00497M1.JPG,soil,soil,0.7001,1,0.7001,0.0439,0.2463,0.0097
68,NLB_453780775EDR_F0320478NCAM00353M1.JPG,soil,soil,0.8971,1,0.8971,0.0585,0.0297,0.0146
69,NLB_453780853EDR_F0320478NCAM00281M1.JPG,soil,soil,0.9514,1,0.9514,0.0364,0.0039,0.0083
70,NLB_453781520EDR_F0320478NCAM00282M1.JPG,soil,soil,0.5753,1,0.5753,0.1824,0.1840,0.0583
71,NLB_453781647EDR_F0320478NCAM00282M1.JPG,soil,soil,0.9319,1,0.9319,0.0259,0.0304,0.0118
72,NLB_454576834EDR_F0330660NCAM00291M1.JPG,soil,soil,0.7275,1,0.7275,0.0808,0.1639,0.0279
73,NLB_454577689EDR_F0330660NCAM00350M1.JPG,soil,soil,0.9397,1,0.9397,0.0255,0.0303,0.0044
74,NLB_454577808EDR_F0330660NCAM00350M1.JPG,soil,soil,0.7637,1,0.7637,0.0899,0.1316,0.0148
75,NLB_454577843EDR_F0330660NCAM00292M1.JPG,soil,soil,0.6187,1,0.6187,0.0191,0.3493,0.0128
76,NLB_454577912EDR_F0330660NCAM00292M1.JPG,soil,soil,0.9093,1,0.9093,0.0173,0.0651,0.0084
77,NLB_455641497EDR_F0340774NCAM00251M1.JPG,soil,soil,0.9800,1,0.9800,0.0065,0.0103,0.0032
78,NLB_455642442EDR_F0340774NCAM00252M1.JPG,soil,soil,0.9480,1,0.9480,0.0301,0.0165,0.0054
79,NLB_455642480EDR_F0340774NCAM00252M1.JPG,soil,soil,0.7634,1,0.7634,0.0542,0.1691,0.0133
80,NLB_455642594EDR_F0340774NCAM00252M1.JPG,soil,soil,0.5262,1,0.5262,0.2293,0.1878,0.0567
81,NLB_457064543EDR_F0371542NCAM00273M1.JPG,soil,soil,0.6556,1,0.6556,0.0198,0.3112,0.0135
82,NLB_457065016EDR_F0371542NCAM00354M1.JPG,soil,soil,0.9525,1,0.9525,0.0202,0.0209,0.0064
83,NLB_457065086EDR_F0371542NCAM00354M1.JPG,soil,soil,0.7910,1,0.7910,0.0374,0.1547,0.0169
84,NLB_457072541EDR_F0371542NCAM00274M1.JPG,soil,soil,0.5800,1,0.5800,0.0124,0.3937,0.0138
85,NLB_457072755EDR_F0371542NCAM00274M1.JPG,soil,soil,0.5400,1,0.5400,0.1319,0.2947,0.0335
86,NLB_457152468EDR_F0380000NCAM00346M1.JPG,sand,sand,0.7646,1,0.1072,0.0905,0.7646,0.0377
87,NLB_457152554EDR_F0380000NCAM00275M1.JPG,sand,sand,0.8214,1,0.1460,0.0187,0.8214,0.0139
88,NLB_457153024EDR_F0380000NCAM00354M1.JPG,sand,sand,0.8865,1,0.0632,0.0344,0.8865,0.0159
89,NLB_457153056EDR_F0380000NCAM00354M1.JPG,sand,sand,0.9212,1,0.0584,0.0109,0.9212,0.0094
90,NLB_457153156EDR_F0380000NCAM00354M1.JPG,sand,sand,0.6644,1,0.2503,0.0558,0.6644,0.0295
91,NLB_457153643EDR_F0380000NCAM00276M1.JPG,sand,sand,0.7725,1,0.1799,0.0282,0.7725,0.0194
92,NLB_457153706EDR_F0380000NCAM00276M1.JPG,sand,sand,0.9009,1,0.0604,0.0190,0.9009,0.0198
93,NLB_459290932EDR_F0391552NCAM00354M1.JPG,soil,soil,0.7333,1,0.7333,0.1615,0.0844,0.0209
94,NLB_459291152EDR_F0391552NCAM00252M1.JPG,soil,soil,0.5530,1,0.5530,0.2856,0.1210,0.0403
95,NLB_459291220EDR_F0391552NCAM00252M1.JPG,soil,soil,0.5889,1,0.5889,0.2596,0.1280,0.0235
96,NLB_462743799EDR_F0410322NCAM00271M1.JPG,soil,soil,0.8801,1,0.8801,0.1034,0.0052,0.0114
97,NLB_462744982EDR_F0410322NCAM00272M1.JPG,soil,soil,0.7903,1,0.7903,0.1284,0.0627,0.0186
98,NLB_463099226EDR_F0410712NCAM00385M1.JPG,bedrock,bedrock,0.9481,1,0.0136,0.9481,0.0096,0.0287
99,NLB_463107188EDR_F0410748NCAM00274M1.JPG,sand,sand,0.3967,1,0.1948,0.3043,0.3967,0.1043
100,NLB_463107562EDR_F0410748NCAM00354M1.JPG,bedrock,bedrock,0.9034,1,0.0137,0.9034,0.0381,0.0449
101,NLB_463107626EDR_F0410748NCAM00354M1.JPG,bedrock,bedrock,0.7738,1,0.1016,0.7738,0.0521,0.0725
102,NLB_463107697EDR_F0410748NCAM00354M1.JPG,bedrock,bedrock,0.4494,1,0.3215,0.4494,0.1935,0.0356
103,NLB_463107797EDR_F0410748NCAM07753M1.JPG,bedrock,bedrock,0.7827,1,0.1252,0.7827,0.0559,0.0361
104,NLB_463107949EDR_F0410748NCAM07753M1.JPG,bedrock,sand,0.3708,0,0.2302,0.3465,0.3708,0.0525
105,NLB_463803954EDR_F0411768NCAM00382M1.JPG,sand,sand,0.5671,1,0.2960,0.0931,0.5671,0.0438
106,NLB_463813170EDR_F0420000NCAM06094M1.JPG,sand,sand,0.7233,1,0.1525,0.0836,0.7233,0.0406
107,NLB_463813296EDR_F0420000NCAM06094M1.JPG,soil,soil,0.8511,1,0.8511,0.0627,0.0603,0.0258
108,NLB_463814148EDR_F0420000NCAM00354M1.JPG,soil,soil,0.7565,1,0.7565,0.1229,0.0953,0.0254
109,NLB_463814218EDR_F0420000NCAM00354M1.JPG,soil,soil,0.7629,1,0.7629,0.1543,0.0664,0.0163
110,NLB_463814255EDR_F0420000NCAM00278M1.JPG,soil,soil,0.6443,1,0.6443,0.1023,0.2172,0.0362
111,NLB_492664173EDR_F0490294NCAM00294M1.JPG,bedrock,bedrock,0.7953,1,0.0568,0.7953,0.0677,0.0802
112,NLB_492664235EDR_F0490294NCAM00294M1.JPG,bedrock,bedrock,0.8816,1,0.0918,0.8816,0.0036,0.0230
113,NLB_492664291EDR_F0490294NCAM00294M1.JPG,bedrock,bedrock,0.6387,1,0.1698,0.6387,0.0694,0.1221
114,NLB_492664491EDR_F0490294NCAM00354M1.JPG,bedrock,bedrock,0.8663,1,0.0918,0.8663,0.0304,0.0116
115,NLB_492664554EDR_F0490294NCAM00354M1.JPG,sand,sand,0.6317,1,0.0351,0.2643,0.6317,0.0690
116,NLB_492664625EDR_F0490294NCAM00354M1.JPG,bedrock,bedrock,0.4398,1,0.3073,0.4398,0.2131,0.0397
117,NLB_492664901EDR_F0490294NCAM00295M1.JPG,bedrock,bedrock,0.4535,1,0.1818,0.4535,0.1053,0.2595
118,NLB_493996330EDR_F0491846NCAM00385M1.JPG,sand,bedrock,0.5528,0,0.0282,0.5528,0.3570,0.0620
119,NLB_493996945EDR_F0491876NCAM00353M1.JPG,bedrock,bedrock,0.6897,1,0.0151,0.6897,0.2225,0.0727
120,NLB_493997715EDR_F0491876NCAM00256M1.JPG,sand,sand,0.8706,1,0.0260,0.0584,0.8706,0.0449
121,NLB_493997775EDR_F0491876NCAM00256M1.JPG,bedrock,bedrock,0.8291,1,0.0183,0.8291,0.1177,0.0349
122,NLB_493997895EDR_F0491876NCAM00354M1.JPG,bedrock,sand,0.4148,0,0.0336,0.4041,0.4148,0.1476
123,NLB_493997974EDR_F0491876NCAM00354M1.JPG,sand,sand,0.5951,1,0.2469,0.1348,0.5951,0.0232
124,NLB_493998022EDR_F0491876NCAM00257M1.JPG,bedrock,sand,0.4994,0,0.0186,0.2913,0.4994,0.1907
125,NLB_493998141EDR_F0491876NCAM00257M1.JPG,sand,bedrock,0.7853,0,0.0466,0.7853,0.0899,0.0782
126,NLB_493998256EDR_F0491876NCAM00257M1.JPG,sand,bedrock,0.5056,0,0.2393,0.5056,0.2007,0.0544
127,NLB_500655478EDR_F0503000NCAM00385M1.JPG,bedrock,bedrock,0.9045,1,0.0675,0.9045,0.0104,0.0176
128,NLB_500656502EDR_F0503076NCAM00353M1.JPG,bedrock,bedrock,0.8584,1,0.0505,0.8584,0.0393,0.0518
129,NLB_500661494EDR_F0503076NCAM00354M1.JPG,bedrock,bedrock,0.9627,1,0.0145,0.9627,0.0072,0.0156
130,NLB_500661565EDR_F0503076NCAM00354M1.JPG,bedrock,bedrock,0.6919,1,0.1878,0.6919,0.0961,0.0243
131,NLB_500661664EDR_F0503076NCAM07753M1.JPG,bedrock,soil,0.4973,0,0.4973,0.4569,0.0241,0.0217
132,NLB_500661727EDR_F0503076NCAM07753M1.JPG,bedrock,bedrock,0.8426,1,0.1151,0.8426,0.0244,0.0180
133,NLB_500661784EDR_F0503076NCAM07753M1.JPG,bedrock,bedrock,0.8154,1,0.1603,0.8154,0.0104,0.0139
134,NLB_502512171EDR_F0511298NCAM00320M1.JPG,sand,sand,0.7715,1,0.1136,0.0970,0.7715,0.0178
135,NLB_502515217EDR_F0511406NCAM00418M1.JPG,sand,sand,0.5490,1,0.0455,0.3751,0.5490,0.0304
136,NLB_502516548EDR_F0511430NCAM00353M1.JPG,sand,sand,0.5979,1,0.2453,0.1130,0.5979,0.0438
137,NLB_502516765EDR_F0511430NCAM00419M1.JPG,sand,sand,0.9156,1,0.0314,0.0446,0.9156,0.0083
138,NLB_502516974EDR_F0511430NCAM09842M1.JPG,sand,sand,0.6036,1,0.0758,0.2910,0.6036,0.0296
139,NLB_502517100EDR_F0511430NCAM09842M1.JPG,sand,sand,0.9246,1,0.0355,0.0224,0.9246,0.0174
140,NLB_502517193EDR_F0511430NCAM09842M1.JPG,sand,bedrock,0.5472,0,0.0590,0.5472,0.3742,0.0195
141,NLB_504390796EDR_F0520004NCAM00354M1.JPG,bedrock,bedrock,0.6251,1,0.0251,0.6251,0.2757,0.0741
142,NLB_504390846EDR_F0520004NCAM00354M1.JPG,bedrock,sand,0.4007,0,0.1328,0.3611,0.4007,0.1054
143,NLB_504391195EDR_F0520004NCAM07753M1.JPG,sand,sand,0.7992,1,0.0230,0.1212,0.7992,0.0566
144,NLB_504391382EDR_F0520004NCAM07753M1.JPG,sand,bedrock,0.5386,0,0.0886,0.5386,0.3321,0.0407
145,NLB_505891855EDR_F0521112NCAM00319M1.JPG,sand,sand,0.6356,1,0.1334,0.2034,0.6356,0.0276
146,NLB_505898310EDR_F0521162NCAM12753M1.JPG,bedrock,bedrock,0.7997,1,0.1002,0.7997,0.0618,0.0384
147,NLB_505898372EDR_F0521162NCAM12753M1.JPG,bedrock,bedrock,0.7106,1,0.0849,0.7106,0.1619,0.0426
148,NLB_505898434EDR_F0521162NCAM12753M1.JPG,sand,sand,0.8369,1,0.1365,0.0124,0.8369,0.0141
149,NLB_505898711EDR_F0521162NCAM12753M1.JPG,sand,sand,0.3785,1,0.3556,0.2161,0.3785,0.0497
150,NLB_505898763EDR_F0521162NCAM00353M1.JPG,sand,sand,0.8779,1,0.0090,0.0912,0.8779,0.0219
151,NLB_505900047EDR_F0521162NCAM00352M1.JPG,sand,sand,0.9003,1,0.0169,0.0496,0.9003,0.0332
152,NLB_512555058EDR_F0532644NCAM00264M1.JPG,sand,sand,0.7449,1,0.0366,0.1660,0.7449,0.0525
153,NLB_512555120EDR_F0532644NCAM00264M1.JPG,bedrock,bedrock,0.4348,1,0.1038,0.4348,0.3756,0.0859
154,NLB_512555645EDR_F0532644NCAM00354M1.JPG,sand,sand,0.6116,1,0.0223,0.3122,0.6116,0.0538
155,NLB_512555867EDR_F0532644NCAM07753M1.JPG,bedrock,bedrock,0.6210,1,0.1008,0.6210,0.2170,0.0612
156,NLB_520358689EDR_F0550940NCAM00299M1.JPG,bedrock,bedrock,0.6288,1,0.1570,0.6288,0.1807,0.0335
157,NLB_520358799EDR_F0550940NCAM00299M1.JPG,bedrock,bedrock,0.9693,1,0.0190,0.9693,0.0024,0.0093
158,NLB_520359057EDR_F0550940NCAM00654M1.JPG,bedrock,bedrock,0.4220,1,0.2766,0.4220,0.2734,0.0280
159,NLB_520359112EDR_F0550940NCAM00654M1.JPG,bedrock,bedrock,0.9670,1,0.0110,0.9670,0.0078,0.0142
160,NLB_520359279EDR_F0550940NCAM07753M1.JPG,bedrock,bedrock,0.7035,1,0.2003,0.7035,0.0530,0.0432
161,NLB_520359399EDR_F0550940NCAM07753M1.JPG,bedrock,sand,0.4554,0,0.1882,0.2934,0.4554,0.0631
162,NLB_525149027EDR_F0570774NCAM00287M1.JPG,bedrock,bedrock,0.9570,1,0.0266,0.9570,0.0052,0.0113
163,NLB_525149336EDR_F0570774NCAM00654M1.JPG,bedrock,bedrock,0.6894,1,0.0591,0.6894,0.2018,0.0497
164,NLB_525149367EDR_F0570774NCAM00654M1.JPG,bedrock,bedrock,0.7479,1,0.0500,0.7479,0.1604,0.0417
165,NLB_525149424EDR_F0570774NCAM00654M1.JPG,bedrock,bedrock,0.8419,1,0.0535,0.8419,0.0687,0.0360
166,NLB_525149485EDR_F0570774NCAM07753M1.JPG,bedrock,bedrock,0.8457,1,0.0890,0.8457,0.0305,0.0348
167,NLB_525149717EDR_F0570774NCAM07753M1.JPG,bedrock,bedrock,0.9683,1,0.0128,0.9683,0.0098,0.0090
168,NLB_527820640EDR_F0580000NCAM00253M1.JPG,bedrock,bedrock,0.9441,1,0.0327,0.9441,0.0067,0.0165
169,NLB_527820910EDR_F0580000NCAM00654M1.JPG,bedrock,bedrock,0.4751,1,0.0545,0.4751,0.4378,0.0326
170,NLB_527820942EDR_F0580000NCAM00654M1.JPG,bedrock,bedrock,0.5894,1,0.0375,0.5894,0.3312,0.0420
171,NLB_527821074EDR_F0580000NCAM07753M1.JPG,sand,bedrock,0.8635,0,0.1021,0.8635,0.0105,0.0239
172,NLB_527821213EDR_F0580000NCAM07753M1.JPG,bedrock,bedrock,0.6946,1,0.1698,0.6946,0.0816,0.0541
173,NLB_527821275EDR_F0580000NCAM07753M1.JPG,bedrock,bedrock,0.7806,1,0.0583,0.7806,0.1043,0.0569
174,NLB_528875763EDR_F0581002NCAM00207M1.JPG,bedrock,bedrock,0.7233,1,0.0602,0.7233,0.1924,0.0241
175,NLB_528892751EDR_F0581248NCAM00346M1.JPG,bedrock,bedrock,0.6462,1,0.1347,0.6462,0.1455,0.0737
176,NLB_528892900EDR_F0581248NCAM00262M1.JPG,bedrock,bedrock,0.9054,1,0.0603,0.9054,0.0141,0.0202
177,NLB_528893088EDR_F0581248NCAM07753M1.JPG,bedrock,bedrock,0.8449,1,0.1079,0.8449,0.0237,0.0235
178,NLB_528893506EDR_F0581248NCAM00654M1.JPG,bedrock,bedrock,0.5189,1,0.0597,0.5189,0.3555,0.0659
179,NLB_528893599EDR_F0581248NCAM00654M1.JPG,bedrock,bedrock,0.8215,1,0.1005,0.8215,0.0424,0.0357
180,NLB_537932733EDR_F0600888NCAM00320M1.JPG,sand,sand,0.7402,1,0.0854,0.1571,0.7402,0.0173
181,NLB_537938493EDR_F0601266NCAM00653M1.JPG,sand,sand,0.8312,1,0.0195,0.1281,0.8312,0.0213
182,NLB_537938609EDR_F0601266NCAM07753M1.JPG,sand,sand,0.7451,1,0.0473,0.1862,0.7451,0.0215
183,NLB_541040424EDR_F0610954NCAM00305M1.JPG,bedrock,sand,0.5278,0,0.0949,0.3281,0.5278,0.0491
184,NLB_541042107EDR_F0611086NCAM00385M1.JPG,sand,sand,0.9384,1,0.0064,0.0479,0.9384,0.0072
185,NLB_541043499EDR_F0611140NCAM00346M1.JPG,sand,sand,0.8863,1,0.0438,0.0468,0.8863,0.0231
186,NLB_541043637EDR_F0611140NCAM00653M1.JPG,sand,sand,0.6144,1,0.0351,0.3139,0.6144,0.0366
187,NLB_541049254EDR_F0611140NCAM12753M1.JPG,sand,sand,0.5126,1,0.2497,0.1721,0.5126,0.0657
188,NLB_541049316EDR_F0611140NCAM12753M1.JPG,sand,sand,0.9238,1,0.0252,0.0382,0.9238,0.0127
189,NLB_542730497EDR_F0612232NCAM00282M1.JPG,sand,sand,0.7108,1,0.0441,0.2182,0.7108,0.0268
190,NLB_542733799EDR_F0612232NCAM00353M1.JPG,sand,sand,0.8177,1,0.0200,0.1414,0.8177,0.0209
191,NLB_542734078EDR_F0612232NCAM00654M1.JPG,sand,sand,0.9293,1,0.0119,0.0494,0.9293,0.0093
192,NLB_542734110EDR_F0612232NCAM00654M1.JPG,sand,sand,0.9480,1,0.0127,0.0305,0.9480,0.0088
193,NLB_542734199EDR_F0612232NCAM00654M1.JPG,sand,sand,0.9259,1,0.0109,0.0507,0.9259,0.0125
194,NLB_542734240EDR_F0612232NCAM00283M1.JPG,sand,sand,0.6539,1,0.1325,0.1966,0.6539,0.0170
195,NLB_542734362EDR_F0612232NCAM00283M1.JPG,sand,sand,0.9185,1,0.0386,0.0326,0.9185,0.0103
196,NLB_542738036EDR_F0612232CCAM15903M1.JPG,sand,sand,0.9707,1,0.0052,0.0184,0.9707,0.0057
197,NLB_543357370EDR_F0613076NCAM00287M1.JPG,sand,sand,0.8449,1,0.0351,0.1043,0.8449,0.0158
198,NLB_543357433EDR_F0613076NCAM00287M1.JPG,sand,bedrock,0.5423,0,0.0746,0.5423,0.3451,0.0380
199,NLB_548047620EDR_F0630346NCAM00320M1.JPG,bedrock,bedrock,0.6743,1,0.0532,0.6743,0.2466,0.0259
200,NLB_548057490EDR_F0630724NCAM00385M1.JPG,bedrock,bedrock,0.8276,1,0.0393,0.8276,0.0960,0.0370
201,NLB_548058260EDR_F0630766NCAM00375M1.JPG,bedrock,bedrock,0.7470,1,0.0540,0.7470,0.1689,0.0301
202,NLB_548058358EDR_F0630766NCAM00273M1.JPG,bedrock,bedrock,0.5380,1,0.0455,0.5380,0.3852,0.0313
203,NLB_548063838EDR_F0630766NCAM07753M1.JPG,bedrock,bedrock,0.4922,1,0.0997,0.4922,0.3692,0.0389
204,NLB_552665174EDR_F0641980NCAM00320M1.JPG,sand,sand,0.8429,1,0.0116,0.1310,0.8429,0.0145
205,NLB_552676131EDR_F0642004NCAM00385M1.JPG,sand,sand,0.9854,1,0.0097,0.0022,0.9854,0.0026
206,NLB_552677384EDR_F0642088NCAM00376M1.JPG,sand,sand,0.9211,1,0.0441,0.0184,0.9211,0.0163
207,NLB_552677513EDR_F0642088NCAM00255M1.JPG,sand,sand,0.9370,1,0.0215,0.0264,0.9370,0.0151
208,NLB_552677608EDR_F0642088NCAM00255M1.JPG,sand,sand,0.9797,1,0.0135,0.0031,0.9797,0.0037
209,NLB_552677960EDR_F0642088NCAM00354M1.JPG,sand,sand,0.9905,1,0.0032,0.0039,0.9905,0.0024
210,NLB_552678040EDR_F0642088NCAM00354M1.JPG,sand,sand,0.7513,1,0.1776,0.0561,0.7513,0.0151
211,NLB_552682049EDR_F0642088NCAM07753M1.JPG,sand,sand,0.9766,1,0.0137,0.0045,0.9766,0.0052
212,NLB_552682173EDR_F0642088NCAM07753M1.JPG,sand,bedrock,0.5627,0,0.0256,0.5627,0.3879,0.0238
213,NLB_556418003EDR_F0651174NCAM00320M1.JPG,sand,sand,0.6664,1,0.0621,0.2456,0.6664,0.0258
214,NLB_556756244EDR_F0651642NCAM00285M1.JPG,sand,sand,0.8597,1,0.0194,0.1059,0.8597,0.0150
215,NLB_556756308EDR_F0651642NCAM00285M1.JPG,sand,sand,0.9050,1,0.0277,0.0423,0.9050,0.0250
