image,gt_idx,ground_truth,squash_fp32,squash_int8,cropped_fp32,cropped_int8
NLB_436383872EDR_F0211362NCAM00354M1,1,bedrock,0,1,1,1
NLB_436383928EDR_F0211362NCAM00354M1,1,bedrock,1,1,1,1
NLB_436384026EDR_F0211362NCAM00279M1,1,bedrock,1,1,1,1
NLB_436384203EDR_F0211362NCAM00279M1,1,bedrock,0,1,0,0
NLB_439225164EDR_F0240000NCAM05113M1,0,soil,0,0,0,0
NLB_439225290EDR_F0240000NCAM05113M1,0,soil,0,0,0,0
NLB_439225843EDR_F0240000NCAM00267M1,0,soil,0,0,0,0
NLB_439225957EDR_F0240000NCAM00267M1,0,soil,0,0,0,2
NLB_439226019EDR_F0240000NCAM00267M1,0,soil,0,0,0,0
NLB_439226061EDR_F0240000NCAM00350M1,0,soil,0,0,1,1
NLB_439226140EDR_F0240000NCAM00350M1,0,soil,0,0,0,0
NLB_442591818EDR_F0250254NCAM00470M1,0,soil,0,1,0,0
NLB_442592358EDR_F0250272NCAM00385M1,0,soil,0,0,0,0
NLB_442593301EDR_F0250312NCAM00353M1,0,soil,0,0,0,0
NLB_442598077EDR_F0250312NCAM00281M1,0,soil,0,0,0,0
NLB_442598204EDR_F0250312NCAM00281M1,0,soil,0,0,0,0
NLB_442600163EDR_F0250312NCAM00350M1,0,soil,0,0,0,0
NLB_442600208EDR_F0250312NCAM00282M1,0,soil,0,0,0,0
NLB_442600301EDR_F0250312NCAM00282M1,0,soil,0,0,0,0
NLB_442600416EDR_F0250312NCAM00282M1,0,soil,0,0,0,2
NLB_442600447EDR_F0250312NCAM00282M1,0,soil,0,2,0,0
NLB_443659348EDR_F0251082NCAM00470M1,0,soil,0,0,0,0
NLB_443663198EDR_F0251238NCAM00353M1,0,soil,0,0,0,0
NLB_443663262EDR_F0251238NCAM00289M1,0,soil,0,0,0,0
NLB_443663326EDR_F0251238NCAM00289M1,0,soil,0,0,0,0
NLB_443668744EDR_F0251238NCAM00292M1,0,soil,0,0,0,0
NLB_443668806EDR_F0251238NCAM00292M1,0,soil,0,0,0,0
NLB_443668921EDR_F0251238NCAM00292M1,0,soil,0,0,0,2
NLB_443669058EDR_F0251238NCAM00352M1,0,soil,0,0,0,0
NLB_443669122EDR_F0251238NCAM00352M1,0,soil,0,0,0,0
NLB_448278207EDR_F0300432NCAM00380M1,0,soil,0,0,0,0
NLB_448279148EDR_F0300484NCAM00353M1,0,soil,0,0,0,0
NLB_448279299EDR_F0300484NCAM00299M1,0,soil,0,0,0,0
NLB_448279809EDR_F0300484NCAM00354M1,0,soil,0,0,0,0
NLB_448279926EDR_F0300484NCAM00250M1,0,soil,0,0,0,0
NLB_448279988EDR_F0300484NCAM00250M1,0,soil,0,0,0,0
NLB_448280142EDR_F0300484NCAM00250M1,0,soil,0,0,0,0
NLB_453776957EDR_F0320204NCAM00498M1,0,soil,2,2,0,0
NLB_453777056EDR_F0320204NCAM00497M1,0,soil,0,0,0,0
NLB_453780775EDR_F0320478NCAM00353M1,0,soil,0,0,0,0
NLB_453780853EDR_F0320478NCAM00281M1,0,soil,0,0,0,0
NLB_453781520EDR_F0320478NCAM00282M1,0,soil,0,0,0,0
NLB_453781647EDR_F0320478NCAM00282M1,0,soil,0,0,0,0
NLB_454576834EDR_F0330660NCAM00291M1,0,soil,0,0,0,0
NLB_454577689EDR_F0330660NCAM00350M1,0,soil,0,0,0,0
NLB_454577808EDR_F0330660NCAM00350M1,0,soil,0,0,0,0
NLB_454577843EDR_F0330660NCAM00292M1,0,soil,0,0,0,0
NLB_454577912EDR_F0330660NCAM00292M1,0,soil,0,0,0,0
NLB_455641497EDR_F0340774NCAM00251M1,0,soil,0,0,0,0
NLB_455642442EDR_F0340774NCAM00252M1,0,soil,0,0,0,0
NLB_455642480EDR_F0340774NCAM00252M1,0,soil,0,0,0,0
NLB_455642594EDR_F0340774NCAM00252M1,0,soil,0,0,0,0
NLB_457064543EDR_F0371542NCAM00273M1,0,soil,0,0,0,0
NLB_457065016EDR_F0371542NCAM00354M1,0,soil,0,0,0,0
NLB_457065086EDR_F0371542NCAM00354M1,0,soil,0,0,0,0
NLB_457072541EDR_F0371542NCAM00274M1,0,soil,0,0,0,0
NLB_457072755EDR_F0371542NCAM00274M1,0,soil,0,0,0,2
NLB_457152468EDR_F0380000NCAM00346M1,2,sand,2,2,2,2
NLB_457152554EDR_F0380000NCAM00275M1,2,sand,2,2,2,2
NLB_457153024EDR_F0380000NCAM00354M1,2,sand,2,2,2,2
NLB_457153056EDR_F0380000NCAM00354M1,2,sand,2,2,2,2
NLB_457153156EDR_F0380000NCAM00354M1,2,sand,2,2,2,2
NLB_457153643EDR_F0380000NCAM00276M1,2,sand,2,2,2,2
NLB_457153706EDR_F0380000NCAM00276M1,2,sand,2,2,2,2
NLB_459290932EDR_F0391552NCAM00354M1,0,soil,0,0,0,0
NLB_459291152EDR_F0391552NCAM00252M1,0,soil,0,0,0,1
NLB_459291220EDR_F0391552NCAM00252M1,0,soil,0,0,0,0
NLB_462743799EDR_F0410322NCAM00271M1,0,soil,0,0,0,0
NLB_462744982EDR_F0410322NCAM00272M1,0,soil,0,0,0,0
NLB_463099226EDR_F0410712NCAM00385M1,1,bedrock,1,1,1,1
NLB_463107188EDR_F0410748NCAM00274M1,2,sand,2,2,2,2
NLB_463107562EDR_F0410748NCAM00354M1,1,bedrock,1,1,1,1
NLB_463107626EDR_F0410748NCAM00354M1,1,bedrock,1,1,1,1
NLB_463107697EDR_F0410748NCAM00354M1,1,bedrock,1,1,1,1
NLB_463107797EDR_F0410748NCAM07753M1,1,bedrock,1,1,1,1
NLB_463107949EDR_F0410748NCAM07753M1,1,bedrock,1,1,2,1
NLB_463803954EDR_F0411768NCAM00382M1,2,sand,2,2,2,2
NLB_463813170EDR_F0420000NCAM06094M1,2,sand,2,2,2,2
NLB_463813296EDR_F0420000NCAM06094M1,0,soil,0,0,0,0
NLB_463814148EDR_F0420000NCAM00354M1,0,soil,0,0,0,0
NLB_463814218EDR_F0420000NCAM00354M1,0,soil,0,0,0,0
NLB_463814255EDR_F0420000NCAM00278M1,0,soil,0,0,0,0
NLB_492664173EDR_F0490294NCAM00294M1,1,bedrock,1,1,1,1
NLB_492664235EDR_F0490294NCAM00294M1,1,bedrock,1,1,1,1
NLB_492664291EDR_F0490294NCAM00294M1,1,bedrock,1,1,1,1
NLB_492664491EDR_F0490294NCAM00354M1,1,bedrock,1,1,1,1
NLB_492664554EDR_F0490294NCAM00354M1,2,sand,2,2,2,2
NLB_492664625EDR_F0490294NCAM00354M1,1,bedrock,1,1,1,1
NLB_492664901EDR_F0490294NCAM00295M1,1,bedrock,1,1,1,1
NLB_493996330EDR_F0491846NCAM00385M1,2,sand,1,1,1,2
NLB_493996945EDR_F0491876NCAM00353M1,1,bedrock,1,1,1,1
NLB_493997715EDR_F0491876NCAM00256M1,2,sand,2,2,2,2
NLB_493997775EDR_F0491876NCAM00256M1,1,bedrock,1,1,1,1
NLB_493997895EDR_F0491876NCAM00354M1,1,bedrock,1,1,2,2
NLB_493997974EDR_F0491876NCAM00354M1,2,sand,2,2,2,2
NLB_493998022EDR_F0491876NCAM00257M1,1,bedrock,1,2,2,2
NLB_493998141EDR_F0491876NCAM00257M1,2,sand,1,1,1,1
NLB_493998256EDR_F0491876NCAM00257M1,2,sand,1,1,1,1
NLB_500655478EDR_F0503000NCAM00385M1,1,bedrock,1,1,1,1
NLB_500656502EDR_F0503076NCAM00353M1,1,bedrock,1,1,1,1
NLB_500661494EDR_F0503076NCAM00354M1,1,bedrock,1,1,1,1
NLB_500661565EDR_F0503076NCAM00354M1,1,bedrock,1,1,1,1
NLB_500661664EDR_F0503076NCAM07753M1,1,bedrock,1,1,0,0
NLB_500661727EDR_F0503076NCAM07753M1,1,bedrock,1,1,1,1
NLB_500661784EDR_F0503076NCAM07753M1,1,bedrock,1,1,1,1
NLB_502512171EDR_F0511298NCAM00320M1,2,sand,2,2,2,2
NLB_502515217EDR_F0511406NCAM00418M1,2,sand,2,1,2,2
NLB_502516548EDR_F0511430NCAM00353M1,2,sand,2,2,2,2
NLB_502516765EDR_F0511430NCAM00419M1,2,sand,2,2,2,2
NLB_502516974EDR_F0511430NCAM09842M1,2,sand,2,2,2,2
NLB_502517100EDR_F0511430NCAM09842M1,2,sand,2,2,2,2
NLB_502517193EDR_F0511430NCAM09842M1,2,sand,1,1,1,1
NLB_504390796EDR_F0520004NCAM00354M1,1,bedrock,1,1,1,1
NLB_504390846EDR_F0520004NCAM00354M1,1,bedrock,1,1,2,2
NLB_504391195EDR_F0520004NCAM07753M1,2,sand,2,2,2,2
NLB_504391382EDR_F0520004NCAM07753M1,2,sand,2,1,1,1
NLB_505891855EDR_F0521112NCAM00319M1,2,sand,2,2,2,2
NLB_505898310EDR_F0521162NCAM12753M1,1,bedrock,1,1,1,1
NLB_505898372EDR_F0521162NCAM12753M1,1,bedrock,1,1,1,1
NLB_505898434EDR_F0521162NCAM12753M1,2,sand,2,2,2,2
NLB_505898711EDR_F0521162NCAM12753M1,2,sand,2,2,2,2
NLB_505898763EDR_F0521162NCAM00353M1,2,sand,2,2,2,2
NLB_505900047EDR_F0521162NCAM00352M1,2,sand,2,2,2,2
NLB_512555058EDR_F0532644NCAM00264M1,2,sand,2,2,2,2
NLB_512555120EDR_F0532644NCAM00264M1,1,bedrock,1,1,1,2
NLB_512555645EDR_F0532644NCAM00354M1,2,sand,2,2,2,2
NLB_512555867EDR_F0532644NCAM07753M1,1,bedrock,1,1,1,1
NLB_520358689EDR_F0550940NCAM00299M1,1,bedrock,1,1,1,1
NLB_520358799EDR_F0550940NCAM00299M1,1,bedrock,1,1,1,1
NLB_520359057EDR_F0550940NCAM00654M1,1,bedrock,1,1,1,1
NLB_520359112EDR_F0550940NCAM00654M1,1,bedrock,1,1,1,1
NLB_520359279EDR_F0550940NCAM07753M1,1,bedrock,1,1,1,1
NLB_520359399EDR_F0550940NCAM07753M1,1,bedrock,0,1,2,1
NLB_525149027EDR_F0570774NCAM00287M1,1,bedrock,1,1,1,1
NLB_525149336EDR_F0570774NCAM00654M1,1,bedrock,1,1,1,1
NLB_525149367EDR_F0570774NCAM00654M1,1,bedrock,1,1,1,1
NLB_525149424EDR_F0570774NCAM00654M1,1,bedrock,1,1,1,1
NLB_525149485EDR_F0570774NCAM07753M1,1,bedrock,1,1,1,1
NLB_525149717EDR_F0570774NCAM07753M1,1,bedrock,1,1,1,1
NLB_527820640EDR_F0580000NCAM00253M1,1,bedrock,1,1,1,1
NLB_527820910EDR_F0580000NCAM00654M1,1,bedrock,2,1,1,1
NLB_527820942EDR_F0580000NCAM00654M1,1,bedrock,1,1,1,1
NLB_527821074EDR_F0580000NCAM07753M1,2,sand,1,1,1,1
NLB_527821213EDR_F0580000NCAM07753M1,1,bedrock,1,1,1,1
NLB_527821275EDR_F0580000NCAM07753M1,1,bedrock,1,1,1,1
NLB_528875763EDR_F0581002NCAM00207M1,1,bedrock,1,1,1,1
NLB_528892751EDR_F0581248NCAM00346M1,1,bedrock,1,1,1,1
NLB_528892900EDR_F0581248NCAM00262M1,1,bedrock,1,1,1,1
NLB_528893088EDR_F0581248NCAM07753M1,1,bedrock,1,1,1,1
NLB_528893506EDR_F0581248NCAM00654M1,1,bedrock,1,1,1,1
NLB_528893599EDR_F0581248NCAM00654M1,1,bedrock,1,1,1,1
NLB_537932733EDR_F0600888NCAM00320M1,2,sand,2,2,2,2
NLB_537938493EDR_F0601266NCAM00653M1,2,sand,2,2,2,2
NLB_537938609EDR_F0601266NCAM07753M1,2,sand,2,2,2,2
NLB_541040424EDR_F0610954NCAM00305M1,1,bedrock,2,2,2,2
NLB_541042107EDR_F0611086NCAM00385M1,2,sand,2,2,2,2
NLB_541043499EDR_F0611140NCAM00346M1,2,sand,2,2,2,2
NLB_541043637EDR_F0611140NCAM00653M1,2,sand,2,2,2,2
NLB_541049254EDR_F0611140NCAM12753M1,2,sand,2,2,2,2
NLB_541049316EDR_F0611140NCAM12753M1,2,sand,2,2,2,2
NLB_542730497EDR_F0612232NCAM00282M1,2,sand,2,2,2,2
NLB_542733799EDR_F0612232NCAM00353M1,2,sand,2,2,2,2
NLB_542734078EDR_F0612232NCAM00654M1,2,sand,2,2,2,2
NLB_542734110EDR_F0612232NCAM00654M1,2,sand,2,2,2,2
NLB_542734199EDR_F0612232NCAM00654M1,2,sand,2,2,2,2
NLB_542734240EDR_F0612232NCAM00283M1,2,sand,2,2,2,2
NLB_542734362EDR_F0612232NCAM00283M1,2,sand,2,2,2,2
NLB_542738036EDR_F0612232CCAM15903M1,2,sand,2,2,2,2
NLB_543357370EDR_F0613076NCAM00287M1,2,sand,2,2,2,2
NLB_543357433EDR_F0613076NCAM00287M1,2,sand,2,2,1,1
NLB_548047620EDR_F0630346NCAM00320M1,1,bedrock,1,1,1,1
NLB_548057490EDR_F0630724NCAM00385M1,1,bedrock,1,1,1,1
NLB_548058260EDR_F0630766NCAM00375M1,1,bedrock,1,1,1,1
NLB_548058358EDR_F0630766NCAM00273M1,1,bedrock,1,2,1,2
NLB_548063838EDR_F0630766NCAM07753M1,1,bedrock,1,2,1,2
NLB_552665174EDR_F0641980NCAM00320M1,2,sand,2,2,2,2
NLB_552676131EDR_F0642004NCAM00385M1,2,sand,2,2,2,2
NLB_552677384EDR_F0642088NCAM00376M1,2,sand,2,2,2,2
NLB_552677513EDR_F0642088NCAM00255M1,2,sand,2,2,2,2
NLB_552677608EDR_F0642088NCAM00255M1,2,sand,2,2,2,2
NLB_552677960EDR_F0642088NCAM00354M1,2,sand,2,2,2,2
NLB_552678040EDR_F0642088NCAM00354M1,2,sand,2,2,2,2
NLB_552682049EDR_F0642088NCAM07753M1,2,sand,2,2,2,2
NLB_552682173EDR_F0642088NCAM07753M1,2,sand,1,1,1,1
NLB_556418003EDR_F0651174NCAM00320M1,2,sand,2,2,2,2
NLB_556756244EDR_F0651642NCAM00285M1,2,sand,2,2,2,2
NLB_556756308EDR_F0651642NCAM00285M1,2,sand,2,2,2,2
NLB_556756606EDR_F0651642NCAM00312M1,2,sand,2,2,2,2
NLB_556763962EDR_F0651642NCAM07753M1,2,sand,2,2,2,2
NLB_556764110EDR_F0651642NCAM07753M1,2,sand,2,2,2,2
NLB_556764172EDR_F0651642NCAM07753M1,2,sand,2,2,2,2
NLB_558363908EDR_F0660000NCAM00375M1,1,bedrock,1,1,1,1
NLB_558364034EDR_F0660000NCAM00252M1,1,bedrock,1,1,1,1
NLB_558364829EDR_F0660000NCAM00253M1,1,bedrock,1,1,1,1
NLB_558364943EDR_F0660000NCAM00253M1,1,bedrock,0,1,1,1
NLB_558365006EDR_F0660000NCAM00253M1,1,bedrock,1,1,1,1
NLB_558365068EDR_F0660000NCAM00253M1,1,bedrock,1,1,1,1
NLB_560302217EDR_F0660952NCAM00320M1,1,bedrock,1,1,1,1
NLB_560310464EDR_F0661030NCAM00385M1,1,bedrock,1,1,1,1
NLB_560311677EDR_F0661112NCAM00353M1,1,bedrock,1,1,1,1
NLB_560311785EDR_F0661112NCAM00273M1,1,bedrock,1,1,1,1
NLB_560311842EDR_F0661112NCAM00273M1,1,bedrock,1,1,1,1
NLB_560311891EDR_F0661112NCAM00273M1,1,bedrock,1,1,1,1
NLB_560312189EDR_F0661112NCAM00354M1,1,bedrock,1,1,1,1
NLB_560316500EDR_F0661112NCAM00274M1,1,bedrock,1,1,1,1
NLB_560316562EDR_F0661112NCAM00274M1,1,bedrock,1,1,1,1
NLB_560316739EDR_F0661112NCAM00274M1,1,bedrock,0,1,1,1
NLB_565016252EDR_F0670180NCAM00385M1,0,soil,0,0,0,0
NLB_565022734EDR_F0670216NCAM00375M1,0,soil,1,1,0,1
NLB_565022803EDR_F0670216NCAM00252M1,0,soil,0,0,0,0
NLB_565022931EDR_F0670216NCAM00252M1,0,soil,0,0,0,0
NLB_565023199EDR_F0670216NCAM00312M1,0,soil,0,0,0,0
NLB_565023322EDR_F0670216NCAM00253M1,0,soil,0,0,0,0
NLB_565023592EDR_F0670216NCAM00253M1,0,soil,0,2,0,0
NLB_565365464EDR_F0670550NCAM00385M1,0,soil,0,0,0,0
NLB_565366137EDR_F0670604NCAM00257M1,0,soil,0,0,0,0
NLB_565367106EDR_F0670650NCAM00353M1,1,bedrock,0,0,0,0
NLB_565373114EDR_F0670650NCAM12753M1,0,soil,0,0,0,0
NLB_565373298EDR_F0670650NCAM12753M1,0,soil,0,0,0,1
NLB_565373360EDR_F0670650NCAM12753M1,0,soil,0,1,0,1
NLB_565373417EDR_F0670650NCAM12753M1,0,soil,0,0,0,0
NLB_565810401EDR_F0670962NCAM00386M1,0,soil,0,0,0,0
NLB_565811345EDR_F0671016NCAM00261M1,0,soil,0,0,0,0
NLB_565811572EDR_F0671016NCAM00261M1,0,soil,0,0,0,0
NLB_565811686EDR_F0671016NCAM00261M1,0,soil,0,1,0,0
NLB_565812047EDR_F0671016NCAM00312M1,0,soil,0,0,0,0
NLB_570073321EDR_F0672884NCAM00375M1,0,soil,0,0,0,0
NLB_570073400EDR_F0672884NCAM00284M1,0,soil,2,2,2,0
NLB_570073456EDR_F0672884NCAM00284M1,0,soil,0,0,0,0
NLB_570074025EDR_F0672884NCAM00285M1,1,bedrock,1,0,0,1
NLB_570074144EDR_F0672884NCAM00285M1,1,bedrock,0,0,0,0
NLB_570074258EDR_F0672884NCAM00285M1,0,soil,2,2,2,2
NLB_574061102EDR_F0681232NCAM00320M1,0,soil,0,0,0,0
NLB_574071379EDR_F0681556NCAM00379M1,1,bedrock,1,1,1,1
NLB_574078090EDR_F0681626NCAM00256M1,0,soil,0,0,0,0
NLB_574078155EDR_F0681626NCAM00256M1,0,soil,1,1,0,1
NLB_574078440EDR_F0681626NCAM00354M1,1,bedrock,1,1,1,1
NLB_574078554EDR_F0681626NCAM00354M1,0,soil,0,0,0,1
NLB_574078665EDR_F0681626NCAM07753M1,1,bedrock,0,0,0,0
NLB_574078735EDR_F0681626NCAM07753M1,1,bedrock,0,0,0,0
NLB_577080310EDR_F0691768NCAM00320M1,0,soil,0,1,1,1
NLB_577089970EDR_F0691858NCAM00286M1,1,bedrock,0,0,0,0
NLB_577090033EDR_F0691858NCAM00286M1,1,bedrock,1,1,1,1
NLB_577090148EDR_F0691858NCAM00286M1,0,soil,1,1,0,1
NLB_577090437EDR_F0691858NCAM00312M1,2,sand,2,2,2,2
NLB_577090635EDR_F0691858NCAM00287M1,2,sand,0,1,2,1
NLB_577090699EDR_F0691858NCAM00287M1,2,sand,2,2,2,2
NLB_577090763EDR_F0691858NCAM00287M1,2,sand,1,1,0,1
NLB_577095146EDR_F0691858NCAM00376M1,2,sand,2,2,2,2
NLB_613564331EDR_F0760274NCAM00320M1,0,soil,0,2,1,1
NLB_613582793EDR_F0760556NCAM00385M1,0,soil,0,0,0,0
NLB_613583192EDR_F0760568NCAM00375M1,0,soil,0,0,0,0
NLB_613583340EDR_F0760568NCAM00280M1,0,soil,0,0,0,0
NLB_613583373EDR_F0760568NCAM00280M1,0,soil,0,0,0,0
NLB_613583763EDR_F0760568NCAM00354M1,0,soil,0,0,0,0
NLB_613583877EDR_F0760568NCAM00354M1,0,soil,0,0,0,0
NLB_613584057EDR_F0760568NCAM00281M1,0,soil,0,0,0,0
NLB_613584326EDR_F0760568NCAM00281M1,0,soil,0,2,0,2
