image_index,true_label,dinov2_pred,clip_pred,disagree,dinov2_wrong
265,1,1,1,False,False
266,0,0,0,False,False
267,1,0,0,False,True
268,1,0,0,False,True
269,0,1,0,True,True
270,1,0,1,True,True
271,1,1,1,False,False
272,0,0,1,True,False
273,2,2,2,False,False
274,2,2,2,False,False
275,2,2,2,False,False
276,2,0,1,True,True
277,2,2,2,False,False
278,0,1,0,True,True
279,0,0,0,False,False
280,0,0,0,False,False
281,0,0,0,False,False
282,0,0,0,False,False
283,0,0,0,False,False
284,0,0,0,False,False
285,0,0,0,False,False
286,0,0,0,False,False
