image,ground_truth,gt_idx,pred_hf,pred_hf_idx,conf_hf,pred_numpy,pred_numpy_idx,conf_numpy,feature_cosine,max_abs_pixel_diff,pred_fp32,pred_fp32_idx,conf_fp32,cosine_fp32_vs_int8hf,cosine_fp32_vs_int8numpy
NLB_453776957EDR_F0320204NCAM00498M1,soil,0,soil,0,0.613498,soil,0,0.625294,0.98777074,1.937e-07,soil,0,0.797374,0.94045031,0.94362199
NLB_453777056EDR_F0320204NCAM00497M1,soil,0,soil,0,0.972769,soil,0,0.972053,0.99189615,1.937e-07,soil,0,0.903943,0.90867174,0.91728252
NLB_453780775EDR_F0320478NCAM00353M1,soil,0,soil,0,0.990009,soil,0,0.989624,0.98439705,4.768e-07,soil,0,0.996579,0.85305446,0.86959839
NLB_453780853EDR_F0320478NCAM00281M1,soil,0,soil,0,0.998383,soil,0,0.995908,0.98110211,1.937e-07,soil,0,0.999117,0.95985115,0.94920057
NLB_453781520EDR_F0320478NCAM00282M1,soil,0,soil,0,0.442588,soil,0,0.467072,0.98493075,4.768e-07,soil,0,0.851713,0.92199647,0.91642874
NLB_453781647EDR_F0320478NCAM00282M1,soil,0,soil,0,0.997349,soil,0,0.998905,0.98006892,1.937e-07,soil,0,0.998908,0.95101804,0.95348728
NLB_454576834EDR_F0330660NCAM00291M1,soil,0,soil,0,0.867494,soil,0,0.851782,0.98176193,4.768e-07,soil,0,0.953507,0.90563345,0.89852452
NLB_454577689EDR_F0330660NCAM00350M1,soil,0,soil,0,0.999266,soil,0,0.998389,0.96473193,1.937e-07,soil,0,0.999009,0.88724154,0.90105003
NLB_454577808EDR_F0330660NCAM00350M1,soil,0,soil,0,0.942347,soil,0,0.904463,0.98590952,4.768e-07,soil,0,0.969088,0.92900008,0.91949379
NLB_454577843EDR_F0330660NCAM00292M1,soil,0,soil,0,0.690824,soil,0,0.798016,0.99120724,1.937e-07,soil,0,0.775133,0.94473261,0.94047999
NLB_454577912EDR_F0330660NCAM00292M1,soil,0,soil,0,0.99432,soil,0,0.99721,0.95636123,4.768e-07,soil,0,0.996507,0.95165902,0.92671812
NLB_455641497EDR_F0340774NCAM00251M1,soil,0,soil,0,0.999462,soil,0,0.99862,0.97105706,1.937e-07,soil,0,0.999926,0.88666689,0.82065058
NLB_455642442EDR_F0340774NCAM00252M1,soil,0,soil,0,0.999385,soil,0,0.999586,0.98789316,1.937e-07,soil,0,0.999271,0.94377398,0.94131839
NLB_455642480EDR_F0340774NCAM00252M1,soil,0,soil,0,0.932527,soil,0,0.96095,0.98897427,1.937e-07,soil,0,0.960259,0.89093167,0.88217944
NLB_455642594EDR_F0340774NCAM00252M1,soil,0,soil,0,0.689762,soil,0,0.550075,0.97860134,4.768e-07,soil,0,0.781236,0.9405148,0.92653525
NLB_457064543EDR_F0371542NCAM00273M1,soil,0,soil,0,0.732778,soil,0,0.693251,0.98999941,1.937e-07,soil,0,0.833755,0.94624197,0.95048416
NLB_457065016EDR_F0371542NCAM00354M1,soil,0,soil,0,0.999007,soil,0,0.999063,0.98714352,1.937e-07,soil,0,0.999494,0.92314321,0.92550725
NLB_457065086EDR_F0371542NCAM00354M1,soil,0,soil,0,0.948596,soil,0,0.928656,0.98411268,3.576e-07,soil,0,0.970308,0.84622705,0.87065899
NLB_457072541EDR_F0371542NCAM00274M1,soil,0,soil,0,0.784822,soil,0,0.759922,0.99129605,1.937e-07,soil,0,0.698313,0.94205582,0.94662207
NLB_457072755EDR_F0371542NCAM00274M1,soil,0,sand,2,0.73514,sand,2,0.738874,0.98698336,4.768e-07,soil,0,0.758616,0.91797519,0.91128147
NLB_457152468EDR_F0380000NCAM00346M1,sand,2,sand,2,0.96886,sand,2,0.980277,0.98039758,3.576e-07,sand,2,0.975309,0.8765949,0.87920207
NLB_457152554EDR_F0380000NCAM00275M1,sand,2,sand,2,0.978484,sand,2,0.969771,0.9911648,1.937e-07,sand,2,0.976565,0.97069001,0.97699916
NLB_457153024EDR_F0380000NCAM00354M1,sand,2,sand,2,0.996157,sand,2,0.996881,0.97485912,1.937e-07,sand,2,0.995738,0.8783915,0.88918996
NLB_457153056EDR_F0380000NCAM00354M1,sand,2,sand,2,0.998704,sand,2,0.998585,0.97675228,3.576e-07,sand,2,0.997368,0.90626061,0.92123032
NLB_457153156EDR_F0380000NCAM00354M1,sand,2,sand,2,0.968542,sand,2,0.983725,0.96896678,3.576e-07,sand,2,0.887994,0.89375746,0.85536122
NLB_457153643EDR_F0380000NCAM00276M1,sand,2,sand,2,0.983399,sand,2,0.984315,0.98228472,4.768e-07,sand,2,0.958318,0.92351818,0.92694324
NLB_457153706EDR_F0380000NCAM00276M1,sand,2,sand,2,0.998857,sand,2,0.998546,0.98784149,1.937e-07,sand,2,0.996684,0.92541504,0.93477261
NLB_459290932EDR_F0391552NCAM00354M1,soil,0,soil,0,0.896266,soil,0,0.889557,0.98373091,4.768e-07,soil,0,0.954964,0.93052149,0.91492563
NLB_459291152EDR_F0391552NCAM00252M1,soil,0,bedrock,1,0.50567,bedrock,1,0.496856,0.98519212,2.384e-07,soil,0,0.781857,0.92755795,0.93154144
NLB_459291220EDR_F0391552NCAM00252M1,soil,0,soil,0,0.828334,soil,0,0.906051,0.98285413,4.768e-07,soil,0,0.828738,0.91770923,0.92608309
NLB_462743799EDR_F0410322NCAM00271M1,soil,0,soil,0,0.992124,soil,0,0.990857,0.9825052,1.937e-07,soil,0,0.990396,0.91501951,0.92366785
NLB_462744982EDR_F0410322NCAM00272M1,soil,0,soil,0,0.88356,soil,0,0.899926,0.98091751,4.768e-07,soil,0,0.976741,0.91329449,0.91651833
NLB_463099226EDR_F0410712NCAM00385M1,bedrock,1,bedrock,1,0.995872,bedrock,1,0.995763,0.98186994,1.937e-07,bedrock,1,0.999346,0.91531169,0.89994395
NLB_463107188EDR_F0410748NCAM00274M1,sand,2,sand,2,0.822544,sand,2,0.830332,0.98782945,1.937e-07,sand,2,0.546048,0.94149637,0.93945456
NLB_463107562EDR_F0410748NCAM00354M1,bedrock,1,bedrock,1,0.986469,bedrock,1,0.977407,0.9851073,1.937e-07,bedrock,1,0.997369,0.89970672,0.87769055
NLB_463107626EDR_F0410748NCAM00354M1,bedrock,1,bedrock,1,0.910116,bedrock,1,0.929519,0.99121416,1.937e-07,bedrock,1,0.979464,0.91507572,0.91990888
NLB_463107697EDR_F0410748NCAM00354M1,bedrock,1,bedrock,1,0.783567,bedrock,1,0.790148,0.97686875,4.768e-07,bedrock,1,0.606685,0.92241323,0.91100812
NLB_463107797EDR_F0410748NCAM07753M1,bedrock,1,bedrock,1,0.951915,bedrock,1,0.951014,0.99349558,1.937e-07,bedrock,1,0.977233,0.92518443,0.92463291
NLB_463107949EDR_F0410748NCAM07753M1,bedrock,1,bedrock,1,0.450041,bedrock,1,0.585108,0.98537022,4.768e-07,sand,2,0.44778,0.91726303,0.90634722
NLB_463803954EDR_F0411768NCAM00382M1,sand,2,sand,2,0.9327,sand,2,0.922094,0.97749263,3.576e-07,sand,2,0.788815,0.90551221,0.87860966
NLB_463813170EDR_F0420000NCAM06094M1,sand,2,sand,2,0.936156,sand,2,0.924802,0.97970492,4.768e-07,sand,2,0.956583,0.87943292,0.85501605
NLB_463813296EDR_F0420000NCAM06094M1,soil,0,soil,0,0.994103,soil,0,0.991906,0.98989481,1.937e-07,soil,0,0.992839,0.93444514,0.92579526
NLB_463814148EDR_F0420000NCAM00354M1,soil,0,soil,0,0.932509,soil,0,0.927185,0.98570859,2.384e-07,soil,0,0.969736,0.91793478,0.92544574
NLB_463814218EDR_F0420000NCAM00354M1,soil,0,soil,0,0.815294,soil,0,0.61671,0.96398902,4.768e-07,soil,0,0.964806,0.7711845,0.70309138
NLB_463814255EDR_F0420000NCAM00278M1,soil,0,soil,0,0.77908,soil,0,0.804406,0.9866485,1.937e-07,soil,0,0.89689,0.94034767,0.94380194
NLB_492664173EDR_F0490294NCAM00294M1,bedrock,1,bedrock,1,0.96619,bedrock,1,0.971198,0.97364223,4.768e-07,bedrock,1,0.985285,0.86994123,0.89330637
NLB_492664235EDR_F0490294NCAM00294M1,bedrock,1,bedrock,1,0.996558,bedrock,1,0.997414,0.98901325,1.937e-07,bedrock,1,0.992291,0.93519825,0.91371846
NLB_492664291EDR_F0490294NCAM00294M1,bedrock,1,bedrock,1,0.91319,bedrock,1,0.942022,0.99019563,1.937e-07,bedrock,1,0.915557,0.92757767,0.93007255
NLB_492664491EDR_F0490294NCAM00354M1,bedrock,1,bedrock,1,0.997856,bedrock,1,0.996814,0.98349363,1.937e-07,bedrock,1,0.991607,0.86650282,0.86036241
NLB_492664554EDR_F0490294NCAM00354M1,sand,2,sand,2,0.750758,sand,2,0.78327,0.98084867,1.937e-07,sand,2,0.861252,0.84257197,0.84028989
NLB_492664625EDR_F0490294NCAM00354M1,bedrock,1,bedrock,1,0.541726,bedrock,1,0.434245,0.98279166,4.768e-07,bedrock,1,0.597802,0.84086561,0.84282041
NLB_492664901EDR_F0490294NCAM00295M1,bedrock,1,bedrock,1,0.646556,bedrock,1,0.701104,0.98443294,1.937e-07,bedrock,1,0.676777,0.82198524,0.81910765
NLB_493996330EDR_F0491846NCAM00385M1,sand,2,sand,2,0.848259,sand,2,0.785193,0.98091578,2.384e-07,bedrock,1,0.715542,0.88538158,0.88516998
NLB_493996945EDR_F0491876NCAM00353M1,bedrock,1,bedrock,1,0.871643,bedrock,1,0.859969,0.97982264,1.937e-07,bedrock,1,0.914239,0.82650518,0.81172198
NLB_493997715EDR_F0491876NCAM00256M1,sand,2,sand,2,0.995475,sand,2,0.988851,0.98096406,1.937e-07,sand,2,0.995069,0.93227792,0.91154391
NLB_493997775EDR_F0491876NCAM00256M1,bedrock,1,bedrock,1,0.769872,bedrock,1,0.73766,0.97397149,4.768e-07,bedrock,1,0.984466,0.85965502,0.83174747
NLB_493997895EDR_F0491876NCAM00354M1,bedrock,1,sand,2,0.589489,sand,2,0.630466,0.97993833,3.576e-07,sand,2,0.486538,0.88221198,0.8887257
NLB_493997974EDR_F0491876NCAM00354M1,sand,2,sand,2,0.965892,sand,2,0.977763,0.97043717,4.768e-07,sand,2,0.840997,0.79752922,0.75803876
NLB_493998022EDR_F0491876NCAM00257M1,bedrock,1,sand,2,0.961261,sand,2,0.958446,0.98886585,1.937e-07,sand,2,0.69671,0.75886238,0.7084114
NLB_493998141EDR_F0491876NCAM00257M1,sand,2,bedrock,1,0.975434,bedrock,1,0.968285,0.98806548,1.937e-07,bedrock,1,0.982343,0.89845979,0.92408139
NLB_493998256EDR_F0491876NCAM00257M1,sand,2,bedrock,1,0.689808,bedrock,1,0.632348,0.98919326,3.576e-07,bedrock,1,0.746302,0.93861526,0.94227755
NLB_500655478EDR_F0503000NCAM00385M1,bedrock,1,bedrock,1,0.994466,bedrock,1,0.995621,0.98659313,1.937e-07,bedrock,1,0.996171,0.87202936,0.86561865
NLB_500656502EDR_F0503076NCAM00353M1,bedrock,1,bedrock,1,0.98729,bedrock,1,0.994218,0.95748687,4.768e-07,bedrock,1,0.994384,0.89023876,0.92755473
NLB_500661494EDR_F0503076NCAM00354M1,bedrock,1,bedrock,1,0.999657,bedrock,1,0.999444,0.98669243,1.937e-07,bedrock,1,0.999734,0.94066072,0.94316846
NLB_500661565EDR_F0503076NCAM00354M1,bedrock,1,bedrock,1,0.975804,bedrock,1,0.977138,0.97895479,4.768e-07,bedrock,1,0.931466,0.79183984,0.83437383
NLB_500661664EDR_F0503076NCAM07753M1,bedrock,1,soil,0,0.616562,soil,0,0.536246,0.98715699,1.937e-07,soil,0,0.545098,0.92859972,0.93576503
NLB_500661727EDR_F0503076NCAM07753M1,bedrock,1,bedrock,1,0.968262,bedrock,1,0.98661,0.98500311,1.937e-07,bedrock,1,0.986178,0.88424683,0.9081949
NLB_500661784EDR_F0503076NCAM07753M1,bedrock,1,bedrock,1,0.993224,bedrock,1,0.9886,0.99098802,1.937e-07,bedrock,1,0.971279,0.89936829,0.89798617
NLB_502512171EDR_F0511298NCAM00320M1,sand,2,sand,2,0.974582,sand,2,0.982283,0.97093868,4.768e-07,sand,2,0.973607,0.93145883,0.91731793
NLB_502515217EDR_F0511406NCAM00418M1,sand,2,sand,2,0.508408,sand,2,0.567377,0.99174035,1.937e-07,sand,2,0.692506,0.88601446,0.88793594
NLB_502516548EDR_F0511430NCAM00353M1,sand,2,sand,2,0.930178,sand,2,0.92263,0.98418063,4.768e-07,sand,2,0.85093,0.94185066,0.93842399
NLB_502516765EDR_F0511430NCAM00419M1,sand,2,sand,2,0.991883,sand,2,0.989467,0.97095537,4.768e-07,sand,2,0.997878,0.82031113,0.83273727
NLB_502516974EDR_F0511430NCAM09842M1,sand,2,sand,2,0.615467,sand,2,0.634109,0.97599292,4.768e-07,sand,2,0.82104,0.88806534,0.86651295
NLB_502517100EDR_F0511430NCAM09842M1,sand,2,sand,2,0.996213,sand,2,0.996358,0.99075085,1.937e-07,sand,2,0.998657,0.92379135,0.93617439
NLB_502517193EDR_F0511430NCAM09842M1,sand,2,bedrock,1,0.576191,bedrock,1,0.696972,0.98389459,1.937e-07,bedrock,1,0.690947,0.89668143,0.89632547
NLB_504390796EDR_F0520004NCAM00354M1,bedrock,1,bedrock,1,0.796724,bedrock,1,0.786208,0.97476757,1.937e-07,bedrock,1,0.847361,0.80444133,0.77613556
NLB_504390846EDR_F0520004NCAM00354M1,bedrock,1,sand,2,0.787278,sand,2,0.761331,0.97365403,2.384e-07,sand,2,0.5144,0.85225713,0.86903518
NLB_504391195EDR_F0520004NCAM07753M1,sand,2,sand,2,0.974519,sand,2,0.967794,0.98648047,1.937e-07,sand,2,0.980038,0.8993566,0.92343968
NLB_504391382EDR_F0520004NCAM07753M1,sand,2,bedrock,1,0.943095,bedrock,1,0.956843,0.98179281,4.768e-07,bedrock,1,0.7279,0.90992391,0.92162824
NLB_505891855EDR_F0521112NCAM00319M1,sand,2,sand,2,0.643934,sand,2,0.781771,0.98489499,4.768e-07,sand,2,0.893344,0.93507773,0.93451291
NLB_505898310EDR_F0521162NCAM12753M1,bedrock,1,bedrock,1,0.987895,bedrock,1,0.990411,0.98101848,1.937e-07,bedrock,1,0.983977,0.89607137,0.9021728
NLB_505898372EDR_F0521162NCAM12753M1,bedrock,1,bedrock,1,0.967125,bedrock,1,0.975712,0.97803634,1.937e-07,bedrock,1,0.950029,0.9179191,0.90840429
NLB_505898434EDR_F0521162NCAM12753M1,sand,2,sand,2,0.986297,sand,2,0.978359,0.99265605,1.937e-07,sand,2,0.980548,0.9597621,0.95344281
NLB_505898711EDR_F0521162NCAM12753M1,sand,2,sand,2,0.478852,sand,2,0.538169,0.98143089,3.576e-07,sand,2,0.458139,0.93363398,0.92896557
NLB_505898763EDR_F0521162NCAM00353M1,sand,2,sand,2,0.985721,sand,2,0.982743,0.98726267,4.768e-07,sand,2,0.992316,0.91360104,0.90841436
NLB_505900047EDR_F0521162NCAM00352M1,sand,2,sand,2,0.996531,sand,2,0.993004,0.98010695,1.937e-07,sand,2,0.997194,0.93746477,0.93766689
NLB_512555058EDR_F0532644NCAM00264M1,sand,2,sand,2,0.969905,sand,2,0.953151,0.98313552,2.384e-07,sand,2,0.958665,0.89044333,0.89183307
NLB_512555120EDR_F0532644NCAM00264M1,bedrock,1,bedrock,1,0.539235,sand,2,0.541561,0.99404502,1.192e-07,bedrock,1,0.554817,0.94653273,0.94387698
NLB_512555645EDR_F0532644NCAM00354M1,sand,2,sand,2,0.753311,sand,2,0.516777,0.95322824,4.768e-07,sand,2,0.807492,0.88900048,0.90631115
NLB_512555867EDR_F0532644NCAM07753M1,bedrock,1,bedrock,1,0.731172,bedrock,1,0.746536,0.98953551,1.937e-07,bedrock,1,0.886414,0.94841504,0.94179142
NLB_520358689EDR_F0550940NCAM00299M1,bedrock,1,bedrock,1,0.943205,bedrock,1,0.925532,0.98140049,4.768e-07,bedrock,1,0.894557,0.89462185,0.89793295
NLB_520358799EDR_F0550940NCAM00299M1,bedrock,1,bedrock,1,0.999941,bedrock,1,0.999932,0.98887628,1.937e-07,bedrock,1,0.999759,0.94774556,0.9509294
NLB_520359057EDR_F0550940NCAM00654M1,bedrock,1,bedrock,1,0.774919,bedrock,1,0.745052,0.96540385,4.768e-07,bedrock,1,0.557738,0.74761248,0.74225223
